date,validator_index
2022-09-15,427335
2022-09-16,428452
2022-09-17,428981
2022-09-18,429668
2022-09-19,430192
2022-09-20,430958
2022-09-21,431452
2022-09-22,432101
2022-09-23,433010
2022-09-24,434360
2022-09-25,434815
2022-09-26,435184
2022-09-27,436173
2022-09-28,436916
2022-09-29,437478
2022-09-30,438108
2022-10-01,438987
2022-10-02,439409
2022-10-03,439715
2022-10-04,440038
2022-10-05,440330
2022-10-06,440707
2022-10-07,441138
2022-10-08,441640
2022-10-09,441787
2022-10-10,442137
2022-10-11,442437
2022-10-12,442701
2022-10-13,443432
2022-10-14,443733
2022-10-15,443995
2022-10-16,444287
2022-10-17,444594
2022-10-18,445104
2022-10-19,446406
2022-10-20,447469
2022-10-21,448033
2022-10-22,448785
2022-10-23,449221
2022-10-24,449536
2022-10-25,450033
2022-10-26,451185
2022-10-27,452253
2022-10-28,453603
2022-10-29,454521
2022-10-30,455837
2022-10-31,456909
2022-11-01,457742
2022-11-02,458601
2022-11-03,459186
2022-11-04,460073
2022-11-05,460530
2022-11-06,460922
2022-11-07,461291
2022-11-08,461660
2022-11-09,462510
2022-11-10,463192
2022-11-11,463911
2022-11-12,465144
2022-11-13,465743
2022-11-14,467000
2022-11-15,467943
2022-11-16,468412
