val,date
329517.4832510251,2022-09-16
329375.0971789045,2022-09-17
326863.4993124474,2022-09-18
328233.90973437304,2022-09-19
332265.2097640447,2022-09-20
333302.0900570972,2022-09-21
335781.3415432055,2022-09-22
335926.5625869582,2022-09-23
337009.93768452236,2022-09-24
336089.9870709986,2022-09-25
333276.11113541806,2022-09-26
333010.52412247594,2022-09-27
336501.24603025283,2022-09-28
338712.6575652969,2022-09-29
340360.6264865267,2022-09-30
339470.3853400981,2022-10-01
341338.9967517762,2022-10-02
339672.8056625743,2022-10-03
337019.4088510187,2022-10-04
335272.84816390247,2022-10-05
338241.86238071934,2022-10-06
339942.88776165975,2022-10-07
342652.7853930373,2022-10-08
343420.303267528,2022-10-09
343468.7929495338,2022-10-10
342478.65572991787,2022-10-11
340800.61451416585,2022-10-12
338196.5854868569,2022-10-13
340109.6020696195,2022-10-14
343028.9228287395,2022-10-15
344408.2864145483,2022-10-16
344763.4680068486,2022-10-17
345237.7856469411,2022-10-18
344954.0832118538,2022-10-19
344670.60314229137,2022-10-20
341530.30310453876,2022-10-21
341971.43531858653,2022-10-22
345355.2954482148,2022-10-23
344690.3365568773,2022-10-24
346592.76595551096,2022-10-25
349470.4915452947,2022-10-26
349772.5475196458,2022-10-27
348652.55858581356,2022-10-28
346525.74459388654,2022-10-29
347021.9467232644,2022-10-30
350341.3565495468,2022-10-31
350360.47515887604,2022-11-01
354407.41286216705,2022-11-02
355289.9398312538,2022-11-03
355264.7160879337,2022-11-04
354269.52650592104,2022-11-05
352713.9290583317,2022-11-06
350859.83245843544,2022-11-07
353027.3076553187,2022-11-08
354828.96389381954,2022-11-09
357932.96720891097,2022-11-10
358548.3076045805,2022-11-11
359194.63288565364,2022-11-12
358770.6701245639,2022-11-13
356787.6451743708,2022-11-14
354153.9998655734,2022-11-15
