val,date
423801.6755755079,2022-09-16
425473.28637133626,2022-09-17
426177.3669720495,2022-09-18
427483.29533058754,2022-09-19
428449.22936452244,2022-09-20
428871.8217548324,2022-09-21
429912.8619366097,2022-09-22
430672.03192075086,2022-09-23
432088.2012866627,2022-09-24
432903.9655284546,2022-09-25
433136.8970918724,2022-09-26
433842.89538112096,2022-09-27
434980.0841684899,2022-09-28
435587.49503981223,2022-09-29
436107.01433907775,2022-09-30
435965.24285676057,2022-10-01
437667.6870236678,2022-10-02
437688.93351123994,2022-10-03
437887.70323987433,2022-10-04
437871.58126107836,2022-10-05
438944.2112314337,2022-10-06
438722.06057666626,2022-10-07
439902.55805536464,2022-10-08
440247.5264566794,2022-10-09
440632.0498020278,2022-10-10
440960.9594604445,2022-10-11
441144.2383014938,2022-10-12
441620.0536480876,2022-10-13
442141.97510556126,2022-10-14
442426.5361524068,2022-10-15
442585.7034870068,2022-10-16
442703.92326596373,2022-10-17
443130.6335198135,2022-10-18
444269.99643153715,2022-10-19
445643.96077152475,2022-10-20
446407.26488868403,2022-10-21
447015.7125478348,2022-10-22
447323.767818464,2022-10-23
445631.2528993097,2022-10-24
446341.6534834169,2022-10-25
449305.91696149576,2022-10-26
450479.5046015528,2022-10-27
451331.9576145237,2022-10-28
452526.06493347004,2022-10-29
454099.78655317926,2022-10-30
455272.1093474163,2022-10-31
453812.09755134303,2022-11-01
456757.5363377181,2022-11-02
457563.65810374654,2022-11-03
458088.20312759065,2022-11-04
458551.8375699646,2022-11-05
459483.3091489461,2022-11-06
459872.3811438818,2022-11-07
460188.28140947496,2022-11-08
459967.8842441259,2022-11-09
461508.7296405294,2022-11-10
462192.1618961564,2022-11-11
463322.9529795985,2022-11-12
464125.36303059914,2022-11-13
464608.92404920177,2022-11-14
465499.1999410231,2022-11-15
