val,date
6989.2837367377915,2022-09-16
7004.948737553189,2022-09-17
7007.649197472089,2022-09-18
7034.306935078802,2022-09-19
7022.879626994226,2022-09-20
6938.212617274875,2022-09-21
7042.872465073109,2022-09-22
7033.557015535533,2022-09-23
7064.064367924149,2022-09-24
7065.428965519593,2022-09-25
7042.661324692806,2022-09-26
7047.002497973343,2022-09-27
7056.244362802578,2022-09-28
7038.339934930049,2022-09-29
7067.498691712157,2022-09-30
7024.46511381518,2022-10-01
7091.3756719059265,2022-10-02
7059.680441651385,2022-10-03
7044.7764044490195,2022-10-04
7038.9010225992515,2022-10-05
7051.892137283666,2022-10-06
7029.228046316239,2022-10-07
7055.012705967577,2022-10-08
7049.064077955313,2022-10-09
7045.345581829012,2022-10-10
7054.844827262649,2022-10-11
7071.140473242305,2022-10-12
7046.097623889314,2022-10-13
7064.720807706354,2022-10-14
7072.791172836067,2022-10-15
7061.619712060758,2022-10-16
7058.352035324396,2022-10-17
7067.648506689977,2022-10-18
7040.162430625977,2022-10-19
7062.319196051142,2022-10-20
7029.618973963921,2022-10-21
7042.0440211606565,2022-10-22
7054.932974565568,2022-10-23
6989.012510921546,2022-10-24
7046.443353211938,2022-10-25
7049.958582790283,2022-10-26
7073.576665525999,2022-10-27
7055.331920345924,2022-10-28
7047.068984205678,2022-10-29
7086.148502147665,2022-10-30
7070.462013873027,2022-10-31
7044.633421259795,2022-11-01
7049.2053617939255,2022-11-02
7052.603133580137,2022-11-03
7060.702133798571,2022-11-04
7058.337174444837,2022-11-05
7073.568369961038,2022-11-06
7065.183410702046,2022-11-07
7070.735977131739,2022-11-08
7035.860609235163,2022-11-09
7081.114461407425,2022-11-10
7049.23639448863,2022-11-11
7070.876208971137,2022-11-12
7077.031967353116,2022-11-13
7070.762371685843,2022-11-14
7053.680479589148,2022-11-15
