,Attestation reward,date
0,2.369170621498305e-06,2022-09-15
1,2.362541348084764e-06,2022-09-16
2,2.351996278506682e-06,2022-09-17
3,2.3476993199358174e-06,2022-09-18
4,2.340365864132353e-06,2022-09-19
5,2.335151894478367e-06,2022-09-20
6,2.3329587320196797e-06,2022-09-21
7,2.3271447033708367e-06,2022-09-22
8,2.3231662154373405e-06,2022-09-23
9,2.3158656894930486e-06,2022-09-24
10,2.31089951999785e-06,2022-09-25
11,2.3097889645128176e-06,2022-09-26
12,2.3065209882387775e-06,2022-09-27
13,2.2998541113301653e-06,2022-09-28
14,2.2966257309194273e-06,2022-09-29
15,2.2940232890445955e-06,2022-09-30
16,2.2976721949075985e-06,2022-10-01
17,2.2857428824496215e-06,2022-10-02
18,2.285930787813299e-06,2022-10-03
19,2.2852685111783764e-06,2022-10-04
20,2.2856836026646773e-06,2022-10-05
21,2.279351102860241e-06,2022-10-06
22,2.2826999127696657e-06,2022-10-07
23,2.274373527257327e-06,2022-10-08
24,2.2720730274839255e-06,2022-10-09
25,2.2702232793250092e-06,2022-10-10
26,2.268401678366501e-06,2022-10-11
27,2.2676058488591317e-06,2022-10-12
28,2.2654581878851933e-06,2022-10-13
29,2.262486568281473e-06,2022-10-14
30,2.260884489215716e-06,2022-10-15
31,2.260126084194973e-06,2022-10-16
32,2.260040401931907e-06,2022-10-17
33,2.257543277787143e-06,2022-10-18
34,2.2524376947589584e-06,2022-10-19
35,2.2451616596413543e-06,2022-10-20
36,2.2409788868441175e-06,2022-10-21
37,2.23808669504947e-06,2022-10-22
38,2.236797464077543e-06,2022-10-23
39,2.247902091235771e-06,2022-10-24
40,2.2446807194336905e-06,2022-10-25
41,2.226867408746764e-06,2022-10-26
42,2.221108798149699e-06,2022-10-27
43,2.217594389444826e-06,2022-10-28
44,2.211759563745994e-06,2022-10-29
45,2.2031671008712293e-06,2022-10-30
46,2.1974479657474085e-06,2022-10-31
47,2.2077065556595187e-06,2022-11-01
48,2.190417481688412e-06,2022-11-02
49,2.186449748410135e-06,2022-11-03
50,2.184090354550006e-06,2022-11-04
51,2.1820461816196975e-06,2022-11-05
52,2.176976425188305e-06,2022-11-06
53,2.1751432179215067e-06,2022-11-07
54,2.1736869390866157e-06,2022-11-08
55,2.1749780043111687e-06,2022-11-09
56,2.167895662881609e-06,2022-11-10
57,2.1646911921716297e-06,2022-11-11
58,2.159315280478446e-06,2022-11-12
59,2.1552840128403697e-06,2022-11-13
60,2.1533525054870723e-06,2022-11-14
61,2.149290287073594e-06,2022-11-15
