date,attestation
2022-09-15,2.3691650102699465e-06
2022-09-16,2.3625413480847625e-06
2022-09-17,2.351996278506682e-06
2022-09-18,2.3476993199358183e-06
2022-09-19,2.340365864132354e-06
2022-09-20,2.335151894478367e-06
2022-09-21,2.332958732019681e-06
2022-09-22,2.3271447033708363e-06
2022-09-23,2.3231662154373405e-06
2022-09-24,2.315865689493048e-06
2022-09-25,2.3108995199978504e-06
2022-09-26,2.309788964512817e-06
2022-09-27,2.3065209882387766e-06
2022-09-28,2.299854111330166e-06
2022-09-29,2.296625730919428e-06
2022-09-30,2.294023289044596e-06
2022-10-01,2.2976721949075964e-06
2022-10-02,2.2857428824496245e-06
2022-10-03,2.2859307878133003e-06
2022-10-04,2.2852685111783773e-06
2022-10-05,2.285683602664679e-06
2022-10-06,2.279351102860241e-06
2022-10-07,2.282699912769666e-06
2022-10-08,2.274373527257328e-06
2022-10-09,2.272073027483925e-06
2022-10-10,2.2702232793250084e-06
2022-10-11,2.268401678366503e-06
2022-10-12,2.267605848859129e-06
2022-10-13,2.2654581878851945e-06
2022-10-14,2.2624865682814707e-06
2022-10-15,2.260884489215717e-06
2022-10-16,2.2601260841949725e-06
2022-10-17,2.2600404019319072e-06
2022-10-18,2.257543277787144e-06
2022-10-19,2.252437694758958e-06
2022-10-20,2.2451616596413543e-06
2022-10-21,2.240978886844116e-06
2022-10-22,2.238086695049469e-06
2022-10-23,2.2367974640775438e-06
2022-10-24,2.247902091235771e-06
2022-10-25,2.2446807194336897e-06
2022-10-26,2.2268674087467635e-06
2022-10-27,2.221108798149697e-06
2022-10-28,2.217594389444824e-06
2022-10-29,2.2117595637459947e-06
2022-10-30,2.2031671008712285e-06
2022-10-31,2.197447965747409e-06
2022-11-01,2.2077065556595183e-06
2022-11-02,2.190417481688411e-06
2022-11-03,2.186449748410134e-06
2022-11-04,2.1840903545500072e-06
2022-11-05,2.1820461816196954e-06
2022-11-06,2.1769764251883047e-06
2022-11-07,2.175143217921507e-06
2022-11-08,2.173686939086616e-06
2022-11-09,2.174978004311168e-06
2022-11-10,2.16789566288161e-06
2022-11-11,2.164691192171629e-06
2022-11-12,2.1593152804784467e-06
2022-11-13,2.15528401284037e-06
2022-11-14,2.1533525054870727e-06
2022-11-15,2.1492902870735952e-06
2022-11-16,2.1472996837968327e-06
2022-11-17,2.141416186306709e-06
2022-11-18,2.138626190613337e-06
2022-11-19,2.1327856779613195e-06
2022-11-20,2.1283369400854675e-06
2022-11-21,2.124704419779392e-06
2022-11-22,2.1199292258728533e-06
2022-11-23,2.1178898017303934e-06
2022-11-24,2.108771303674593e-06
2022-11-25,2.1017022518551348e-06
2022-11-26,2.0946567692807675e-06
2022-11-27,2.093216824841769e-06
2022-11-28,2.092025898832189e-06
2022-11-29,2.0907737300860545e-06
2022-11-30,2.0885205166839747e-06
2022-12-01,2.0839046806230454e-06
2022-12-02,2.0805945088391628e-06
2022-12-03,2.0762134308661847e-06
2022-12-04,2.0754061522356763e-06
2022-12-05,2.0748630996872905e-06
2022-12-06,2.071867489222243e-06
2022-12-07,2.1069511699096767e-06
2022-12-08,2.0696421776710517e-06
2022-12-09,2.0663026079742847e-06
2022-12-10,2.061941565613301e-06
2022-12-11,2.06031104273837e-06
2022-12-12,2.0596577766372158e-06
2022-12-13,2.0587313402326576e-06
2022-12-14,2.0579089723733545e-06
2022-12-15,2.0571760706148555e-06
2022-12-16,2.054806267713318e-06
2022-12-17,2.0542088851495705e-06
2022-12-18,2.054162409270459e-06
2022-12-19,2.049655436763704e-06
