date,attestation
2022-09-15,422463.5754920059
2022-09-16,423811.29754865385
2022-09-17,425477.69529930095
2022-09-18,426184.2616708935
2022-09-19,427485.7967155047
2022-09-20,428454.0401807606
2022-09-21,428873.4868399402
2022-09-22,429916.44067372056
2022-09-23,430677.98555816006
2022-09-24,432095.9181700676
2022-09-25,432906.7990011752
2022-09-26,433137.0930565236
2022-09-27,433847.53854255297
2022-09-28,434982.5161256605
2022-09-29,435589.9676449951
2022-09-30,436108.4528658945
2022-10-01,435967.560072557
2022-10-02,437670.4551345696
2022-10-03,437689.8624600607
2022-10-04,437883.6504716642
2022-10-05,437889.4270905656
2022-10-06,438945.1331775458
2022-10-07,438724.4738968725
2022-10-08,439905.78516702185
2022-10-09,440246.4738790893
2022-10-10,440632.3455593388
2022-10-11,440963.2325630608
2022-10-12,441144.1249727408
2022-10-13,441625.3031547413
2022-10-14,442141.82345983176
2022-10-15,442426.1165779931
2022-10-16,442586.9465805708
2022-10-17,442703.6705711949
2022-10-18,443133.2339861709
2022-10-19,444273.617606469
2022-10-20,445647.2631521595
2022-10-21,446411.5124312748
2022-10-22,447019.5186074447
2022-10-23,447314.7286733505
2022-10-24,445632.6921587904
2022-10-25,446345.45458969154
2022-10-26,449312.4318951065
2022-10-27,450481.5563170216
2022-10-28,451341.13732347137
2022-10-29,452530.1564663726
2022-10-30,454105.37579181296
2022-10-31,455274.9786095772
2022-11-01,453816.1525869298
2022-11-02,456765.4097847583
2022-11-03,457564.75114333874
2022-11-04,458093.5359301705
2022-11-05,458563.3828459384
2022-11-06,459484.67554684455
2022-11-07,459874.4981372331
2022-11-08,460187.2506614944
2022-11-09,459972.53570009454
2022-11-10,461516.35853187466
2022-11-11,462196.9022332901
2022-11-12,463328.7788935579
2022-11-13,464127.3247540673
2022-11-14,464614.0887574062
2022-11-15,465502.8698568639
2022-11-16,465998.1650810592
2022-11-17,467171.8426088465
2022-11-18,467912.0175046328
2022-11-19,469154.59512080735
