date,total
2022-09-15,319484.76264378056
2022-09-16,329537.5371534293
2022-09-17,329431.52245578315
2022-09-18,326931.45084083435
2022-09-19,328244.186887043
2022-09-20,332224.5668037249
2022-09-21,333300.10299414577
2022-09-22,335770.3163482206
2022-09-23,335935.55411868845
2022-09-24,337031.1862600057
2022-09-25,336123.3834271445
2022-09-26,333331.76631410944
2022-09-27,332996.8364251112
2022-09-28,336473.2754736377
2022-09-29,338694.25750316924
2022-09-30,340343.14013308927
2022-10-01,339483.1740529571
2022-10-02,341330.3978472099
2022-10-03,339726.91709753755
2022-10-04,337055.2316224274
2022-10-05,335289.87067816075
2022-10-06,338196.5147836123
2022-10-07,339917.4192516594
2022-10-08,342642.3730978634
2022-10-09,343402.603579572
2022-10-10,343469.5469382638
2022-10-11,342513.58327349584
2022-10-12,340837.5830618568
2022-10-13,338198.6873232861
2022-10-14,340052.47564820485
2022-10-15,342969.2061272696
2022-10-16,344421.54775227536
2022-10-17,344763.4596250773
2022-10-18,345225.8562556096
2022-10-19,344984.8265766724
2022-10-20,344695.0436228461
2022-10-21,341623.6765878908
2022-10-22,341961.2829445038
2022-10-23,345324.1630350599
2022-10-24,344680.9517764804
2022-10-25,346588.1898886966
2022-10-26,349464.3219859829
2022-10-27,349793.30683884094
2022-10-28,348680.3647145588
2022-10-29,346589.90298634337
2022-10-30,347029.7738752288
2022-10-31,350289.5528535094
2022-11-01,350346.9306481547
2022-11-02,354387.82039795606
2022-11-03,355282.2739619304
2022-11-04,355294.7601057976
2022-11-05,354303.10258363874
2022-11-06,352773.7077942036
2022-11-07,350862.876278945
2022-11-08,352989.4206399983
2022-11-09,354804.57164813
2022-11-10,357909.1168718782
2022-11-11,358570.41846319387
2022-11-12,359206.0198244692
2022-11-13,358793.98585485824
2022-11-14,356826.47203572857
2022-11-15,354152.8091504327
2022-11-16,355496.4508175885
2022-11-17,359490.4279203154
2022-11-18,361538.3295120348
2022-11-19,363236.34859697934
2022-11-20,364070.5818445839
2022-11-21,363510.59925729263
2022-11-22,362554.1675160341
2022-11-23,359195.10326481
2022-11-24,360592.2719969935
2022-11-25,364932.83761576656
2022-11-26,368148.6686660292
2022-11-27,369322.2907250429
2022-11-28,369783.4192427527
2022-11-29,369152.851546945
2022-11-30,368058.0403622981
2022-12-01,365744.0134550247
2022-12-02,364957.9222932671
2022-12-03,367946.8657589787
2022-12-04,370990.7915115766
2022-12-05,371971.5401339054
2022-12-06,372888.320394261
2022-12-07,364710.2332324344
2022-12-08,371284.09357413807
2022-12-09,369018.0781587853
2022-12-10,367859.3405766579
2022-12-11,369868.69445815706
2022-12-12,372447.3777294295
2022-12-13,374197.33231422654
2022-12-14,375029.28537104017
2022-12-15,374975.5082283815
2022-12-16,374506.5152500502
2022-12-17,372230.1356850974
2022-12-18,368751.4706728565
2022-12-19,370281.32987504784
2022-12-20,374395.0205663551
2022-12-21,375939.9958099669
2022-12-22,376913.96218109
2022-12-23,377246.60643220064
2022-12-24,376528.81292700215
2022-12-25,375206.5331809685
2022-12-26,371171.902221356
2022-12-27,371444.10273603897
2022-12-28,375513.6186894256
2022-12-29,377638.9586220169
2022-12-30,378947.3788727808
2022-12-31,379372.609221286
2023-01-01,379030.1768897482
2023-01-02,377360.6293007622
2023-01-03,374382.7277128893
2023-01-04,373914.4502419147
2023-01-05,375890.7605052987
2023-01-06,378707.1270760112
2023-01-07,380266.5814224561
2023-01-08,381527.1754253029
2023-01-09,381115.96386684175
2023-01-10,379592.9347860994
2023-01-11,377447.7984865175
2023-01-12,374871.7875768656
2023-01-13,377252.51258931565
2023-01-14,380502.7596590017
2023-01-15,381752.9358878938
2023-01-16,383338.0701068284
2023-01-17,383928.5199590303
2023-01-18,382710.6845077335
2023-01-19,380912.7169266272
2023-01-20,378419.9405310633
2023-01-21,378990.0955093659
2023-01-22,382800.3953339691
2023-01-23,385109.3570579588
2023-01-24,386224.2022466701
2023-01-25,387153.7172459631
2023-01-26,387062.614518788
2023-01-27,385279.647335781
2023-01-28,382392.0088991712
2023-01-29,382251.3062730095
2023-01-30,385618.7601353486
2023-01-31,387800.6639838584
2023-02-01,389886.756501753
2023-02-02,389669.9395053039
2023-02-03,390058.0135234314
2023-02-04,389397.7778776126
2023-02-05,387221.74767964246
2023-02-06,385713.6392322584
2023-02-07,387835.75381992233
2023-02-08,390861.623043734
2023-02-09,392541.927643089
2023-02-10,393332.3954820114
2023-02-11,393478.5117723964
2023-02-12,392418.2635439988
2023-02-13,389989.69564959366
2023-02-14,387008.6824047137
2023-02-15,388763.938238453
2023-02-16,392461.8160530512
2023-02-17,393193.4049307248
2023-02-18,395667.48186832434
2023-02-19,396080.04233659233
2023-02-20,396555.6479031583
2023-02-21,394765.3019142288
2023-02-22,391796.7767072283
2023-02-23,393269.7971486602
2023-02-24,397319.3312937382
2023-02-25,399531.7601761344
2023-02-26,401391.906828164
2023-02-27,402793.9404382458
2023-02-28,402967.1039019256
2023-03-01,402269.98652453255
2023-03-02,399640.4824285567
2023-03-03,399702.13378711295
2023-03-04,404471.21268747805
2023-03-05,408241.7078789254
2023-03-06,411006.0941891122
2023-03-07,412279.0173761012
2023-03-08,412657.0191619209
2023-03-09,411929.93170739926
2023-03-10,409429.866409467
2023-03-11,408249.2048867933
2023-03-12,410569.17734832334
2023-03-13,413786.638924452
2023-03-14,415103.9208782406
2023-03-15,415559.2447924741
2023-03-16,416324.3183158245
2023-03-17,415488.1279951566
2023-03-18,413176.9815973857
2023-03-19,410451.6353400452
2023-03-20,412125.8280331079
2023-03-21,416694.35667301697
2023-03-22,418680.4567029745
2023-03-23,419780.69852746447
2023-03-24,420195.5389974401
2023-03-25,419327.04173477576
2023-03-26,417432.2789264036
2023-03-27,413329.0373858554
2023-03-28,413480.9805114553
2023-03-29,417673.9661721136
2023-03-30,420889.8745090647
2023-03-31,422443.94638504967
2023-04-01,423089.758716282
2023-04-02,422196.4643934715
2023-04-03,420846.6710637818
2023-04-04,416134.9924222464
