date,attestation
2022-09-15,207832.0
2022-09-16,208770.0
2022-09-17,210416.0
2022-09-18,211156.0
2022-09-19,211907.0
2022-09-20,212277.0
2022-09-21,212316.0
2022-09-22,213258.0
2022-09-23,213560.0
2022-09-24,214311.0
2022-09-25,214910.0
2022-09-26,214797.0
2022-09-27,214928.0
2022-09-28,215972.0
2022-09-29,216035.0
2022-09-30,216389.0
2022-10-01,215433.0
2022-10-02,217033.0
2022-10-03,216602.0
2022-10-04,216370.0
2022-10-05,216561.0
2022-10-06,217470.0
2022-10-07,216710.0
2022-10-08,218082.0
2022-10-09,218613.0
2022-10-10,218653.0
2022-10-11,218768.0
2022-10-12,218925.0
2022-10-13,218909.0
2022-10-14,219402.0
2022-10-15,219595.0
2022-10-16,219788.0
2022-10-17,219379.0
2022-10-18,219849.0
2022-10-19,219737.0
2022-10-20,220728.0
2022-10-21,221456.0
2022-10-22,221892.0
2022-10-23,222074.0
2022-10-24,220245.0
2022-10-25,220932.0
2022-10-26,222786.0
2022-10-27,223243.0
2022-10-28,223410.0
2022-10-29,223955.0
2022-10-30,225242.0
2022-10-31,225631.0
2022-11-01,224551.0
2022-11-02,226321.0
2022-11-03,226745.0
2022-11-04,227148.0
2022-11-05,227383.0
2022-11-06,228087.0
2022-11-07,228175.0
2022-11-08,228350.0
2022-11-09,228019.0
2022-11-10,228866.0
2022-11-11,229068.0
2022-11-12,229815.0
2022-11-13,230229.0
2022-11-14,230105.0
2022-11-15,230384.0
2022-11-16,230833.0
2022-11-17,231549.0
2022-11-18,231680.0
2022-11-19,232531.0
2022-11-20,233129.0
2022-11-21,233411.0
2022-11-22,233699.0
2022-11-23,233915.0
2022-11-24,235207.0
2022-11-25,235916.0
2022-11-26,236943.0
2022-11-27,237064.0
2022-11-28,237340.0
2022-11-29,237257.0
2022-11-30,237309.0
2022-12-01,238186.0
2022-12-02,238511.0
2022-12-03,238964.0
2022-12-04,239260.0
2022-12-05,239306.0
2022-12-06,239572.0
2022-12-07,233568.0
2022-12-08,239930.0
2022-12-09,239560.0
2022-12-10,240735.0
