date,proposer
2022-09-15,2449.0
2022-09-16,3407.0
2022-09-17,3420.0
2022-09-18,3429.0
2022-09-19,3449.0
2022-09-20,3439.0
2022-09-21,3382.0
2022-09-22,3458.0
2022-09-23,3453.0
2022-09-24,3477.0
2022-09-25,3481.0
2022-09-26,3461.0
2022-09-27,3460.0
2022-09-28,3465.0
2022-09-29,3451.0
2022-09-30,3471.0
2022-10-01,3436.0
2022-10-02,3487.0
2022-10-03,3468.0
2022-10-04,3451.0
2022-10-05,3446.0
2022-10-06,3456.0
2022-10-07,3442.0
2022-10-08,3463.0
2022-10-09,3463.0
2022-10-10,3454.0
2022-10-11,3463.0
2022-10-12,3477.0
2022-10-13,3455.0
2022-10-14,3469.0
2022-10-15,3472.0
2022-10-16,3472.0
2022-10-17,3464.0
2022-10-18,3473.0
2022-10-19,3447.0
2022-10-20,3465.0
2022-10-21,3444.0
2022-10-22,3451.0
2022-10-23,3463.0
2022-10-24,3408.0
2022-10-25,3451.0
2022-10-26,3458.0
2022-10-27,3473.0
2022-10-28,3461.0
2022-10-29,3453.0
2022-10-30,3486.0
2022-10-31,3473.0
2022-11-01,3451.0
2022-11-02,3455.0
2022-11-03,3459.0
2022-11-04,3467.0
2022-11-05,3463.0
2022-11-06,3477.0
2022-11-07,3469.0
2022-11-08,3472.0
2022-11-09,3446.0
2022-11-10,3479.0
2022-11-11,3457.0
2022-11-12,3470.0
2022-11-13,3475.0
2022-11-14,3465.0
2022-11-15,3455.0
2022-11-16,3466.0
2022-11-17,3474.0
2022-11-18,3453.0
2022-11-19,3477.0
2022-11-20,3481.0
2022-11-21,3462.0
2022-11-22,3448.0
2022-11-23,3455.0
2022-11-24,3473.0
2022-11-25,3455.0
2022-11-26,3468.0
2022-11-27,3466.0
2022-11-28,3475.0
2022-11-29,3467.0
2022-11-30,3458.0
2022-12-01,3477.0
2022-12-02,3483.0
2022-12-03,3473.0
2022-12-04,3456.0
2022-12-05,3457.0
2022-12-06,3468.0
2022-12-07,3368.0
2022-12-08,3465.0
2022-12-09,3453.0
2022-12-10,3472.0
2022-12-11,3472.0
2022-12-12,3464.0
2022-12-13,3459.0
2022-12-14,3485.0
2022-12-15,3475.0
2022-12-16,3487.0
2022-12-17,3481.0
2022-12-18,3465.0
2022-12-19,3470.0
2022-12-20,3486.0
2022-12-21,3471.0
