date,sync
2022-09-15,417.0
2022-09-16,339.0
2022-09-17,287.0
2022-09-18,248.0
2022-09-19,247.0
2022-09-20,285.0
2022-09-21,342.0
2022-09-22,424.0
2022-09-23,453.0
2022-09-24,363.0
2022-09-25,302.0
2022-09-26,258.0
2022-09-27,246.0
2022-09-28,276.0
2022-09-29,327.0
2022-09-30,399.0
2022-10-01,489.0
2022-10-02,385.0
2022-10-03,314.0
2022-10-04,267.0
2022-10-05,247.0
2022-10-06,266.0
2022-10-07,311.0
2022-10-08,376.0
2022-10-09,481.0
2022-10-10,407.0
2022-10-11,332.0
2022-10-12,281.0
2022-10-13,250.0
2022-10-14,255.0
2022-10-15,299.0
2022-10-16,361.0
2022-10-17,447.0
2022-10-18,432.0
2022-10-19,345.0
2022-10-20,287.0
2022-10-21,253.0
2022-10-22,251.0
2022-10-23,287.0
2022-10-24,341.0
2022-10-25,423.0
2022-10-26,464.0
2022-10-27,364.0
2022-10-28,303.0
2022-10-29,261.0
2022-10-30,248.0
2022-10-31,273.0
2022-11-01,324.0
2022-11-02,396.0
2022-11-03,495.0
2022-11-04,387.0
2022-11-05,317.0
2022-11-06,270.0
2022-11-07,249.0
2022-11-08,264.0
2022-11-09,310.0
2022-11-10,372.0
2022-11-11,476.0
2022-11-12,411.0
2022-11-13,333.0
2022-11-14,280.0
2022-11-15,248.0
2022-11-16,253.0
2022-11-17,297.0
2022-11-18,354.0
2022-11-19,447.0
2022-11-20,433.0
2022-11-21,349.0
2022-11-22,290.0
2022-11-23,252.0
2022-11-24,249.0
2022-11-25,284.0
2022-11-26,337.0
2022-11-27,416.0
2022-11-28,462.0
2022-11-29,369.0
2022-11-30,301.0
2022-12-01,262.0
2022-12-02,249.0
2022-12-03,275.0
2022-12-04,321.0
2022-12-05,392.0
2022-12-06,495.0
2022-12-07,390.0
2022-12-08,319.0
2022-12-09,271.0
2022-12-10,249.0
2022-12-11,262.0
2022-12-12,311.0
2022-12-13,372.0
2022-12-14,467.0
2022-12-15,408.0
2022-12-16,335.0
2022-12-17,283.0
2022-12-18,249.0
2022-12-19,254.0
2022-12-20,295.0
2022-12-21,356.0
2022-12-22,445.0
2022-12-23,445.0
2022-12-24,353.0
2022-12-25,295.0
2022-12-26,255.0
2022-12-27,247.0
2022-12-28,282.0
2022-12-29,335.0
2022-12-30,413.0
2022-12-31,466.0
2023-01-01,370.0
2023-01-02,311.0
2023-01-03,264.0
2023-01-04,247.0
2023-01-05,269.0
2023-01-06,323.0
2023-01-07,396.0
2023-01-08,496.0
2023-01-09,386.0
2023-01-10,322.0
2023-01-11,272.0
2023-01-12,248.0
2023-01-13,262.0
2023-01-14,308.0
2023-01-15,369.0
2023-01-16,467.0
2023-01-17,420.0
2023-01-18,338.0
2023-01-19,285.0
2023-01-20,248.0
2023-01-21,253.0
2023-01-22,294.0
2023-01-23,352.0
2023-01-24,441.0
2023-01-25,445.0
2023-01-26,356.0
2023-01-27,298.0
2023-01-28,255.0
2023-01-29,246.0
2023-01-30,284.0
2023-01-31,334.0
2023-02-01,409.0
2023-02-02,473.0
2023-02-03,373.0
2023-02-04,308.0
2023-02-05,258.0
2023-02-06,247.0
2023-02-07,272.0
2023-02-08,321.0
2023-02-09,392.0
2023-02-10,494.0
2023-02-11,394.0
2023-02-12,323.0
2023-02-13,276.0
2023-02-14,250.0
2023-02-15,264.0
2023-02-16,304.0
2023-02-17,366.0
2023-02-18,462.0
2023-02-19,419.0
2023-02-20,337.0
2023-02-21,284.0
2023-02-22,246.0
2023-02-23,250.0
2023-02-24,292.0
2023-02-25,351.0
2023-02-26,438.0
2023-02-27,448.0
2023-02-28,356.0
2023-03-01,300.0
2023-03-02,257.0
2023-03-03,248.0
2023-03-04,278.0
2023-03-05,333.0
2023-03-06,409.0
2023-03-07,477.0
2023-03-08,376.0
2023-03-09,309.0
2023-03-10,263.0
2023-03-11,247.0
2023-03-12,270.0
2023-03-13,317.0
2023-03-14,385.0
2023-03-15,493.0
2023-03-16,397.0
2023-03-17,325.0
2023-03-18,275.0
2023-03-19,247.0
2023-03-20,260.0
2023-03-21,302.0
2023-03-22,365.0
2023-03-23,459.0
2023-03-24,422.0
2023-03-25,342.0
2023-03-26,285.0
2023-03-27,247.0
2023-03-28,249.0
2023-03-29,293.0
2023-03-30,346.0
2023-03-31,433.0
2023-04-01,450.0
2023-04-02,356.0
2023-04-03,298.0
2023-04-04,257.0
2023-04-05,246.0
2023-04-06,276.0
2023-04-07,328.0
2023-04-08,405.0
2023-04-09,474.0
2023-04-10,376.0
2023-04-11,311.0
2023-04-12,259.0
2023-04-13,243.0
2023-04-14,266.0
2023-04-15,308.0
2023-04-16,382.0
2023-04-17,485.0
2023-04-18,402.0
2023-04-19,326.0
2023-04-20,275.0
2023-04-21,249.0
2023-04-22,256.0
2023-04-23,303.0
2023-04-24,364.0
2023-04-25,456.0
2023-04-26,420.0
2023-04-27,344.0
2023-04-28,288.0
2023-04-29,247.0
2023-04-30,248.0
2023-05-01,292.0
2023-05-02,346.0
2023-05-03,429.0
2023-05-04,455.0
2023-05-05,361.0
2023-05-06,302.0
2023-05-07,258.0
2023-05-08,249.0
2023-05-09,276.0
2023-05-10,328.0
2023-05-11,407.0
2023-05-12,456.0
2023-05-13,380.0
2023-05-14,312.0
2023-05-15,267.0
2023-05-16,249.0
2023-05-17,266.0
2023-05-18,315.0
2023-05-19,380.0
2023-05-20,486.0
2023-05-21,404.0
2023-05-22,330.0
2023-05-23,276.0
2023-05-24,248.0
2023-05-25,257.0
2023-05-26,300.0
2023-05-27,361.0
2023-05-28,453.0
2023-05-29,424.0
2023-05-30,345.0
2023-05-31,292.0
2023-06-01,251.0
2023-06-02,247.0
2023-06-03,288.0
2023-06-04,344.0
2023-06-05,421.0
2023-06-06,455.0
2023-06-07,362.0
2023-06-08,299.0
2023-06-09,256.0
2023-06-10,245.0
2023-06-11,275.0
2023-06-12,324.0
2023-06-13,396.0
2023-06-14,489.0
2023-06-15,383.0
2023-06-16,315.0
2023-06-17,268.0
2023-06-18,249.0
2023-06-19,266.0
2023-06-20,311.0
2023-06-21,379.0
2023-06-22,481.0
2023-06-23,406.0
2023-06-24,329.0
2023-06-25,277.0
2023-06-26,247.0
2023-06-27,250.0
2023-06-28,298.0
2023-06-29,357.0
2023-06-30,448.0
2023-07-01,431.0
2023-07-02,344.0
2023-07-03,293.0
2023-07-04,249.0
2023-07-05,250.0
2023-07-06,287.0
2023-07-07,341.0
2023-07-08,422.0
2023-07-09,463.0
2023-07-10,366.0
2023-07-11,303.0
2023-07-12,260.0
2023-07-13,247.0
2023-07-14,271.0
2023-07-15,323.0
2023-07-16,390.0
2023-07-17,493.0
2023-07-18,387.0
2023-07-19,318.0
2023-07-20,270.0
2023-07-21,249.0
2023-07-22,264.0
2023-07-23,311.0
2023-07-24,378.0
2023-07-25,480.0
2023-07-26,411.0
2023-07-27,331.0
2023-07-28,281.0
2023-07-29,248.0
2023-07-30,254.0
2023-07-31,296.0
2023-08-01,358.0
2023-08-02,445.0
2023-08-03,435.0
2023-08-04,350.0
2023-08-05,293.0
2023-08-06,254.0
2023-08-07,250.0
2023-08-08,288.0
2023-08-09,340.0
2023-08-10,419.0
2023-08-11,463.0
2023-08-12,368.0
2023-08-13,307.0
2023-08-14,261.0
2023-08-15,251.0
2023-08-16,276.0
2023-08-17,325.0
2023-08-18,395.0
2023-08-19,497.0
2023-08-20,389.0
2023-08-21,320.0
2023-08-22,271.0
2023-08-23,246.0
2023-08-24,264.0
2023-08-25,310.0
2023-08-26,374.0
2023-08-27,473.0
2023-08-28,410.0
2023-08-29,335.0
2023-08-30,282.0
2023-08-31,250.0
2023-09-01,255.0
2023-09-02,296.0
2023-09-03,355.0
2023-09-04,443.0
2023-09-05,436.0
2023-09-06,349.0
2023-09-07,293.0
2023-09-08,251.0
2023-09-09,249.0
2023-09-10,284.0
2023-09-11,336.0
2023-09-12,412.0
2023-09-13,467.0
2023-09-14,371.0
2023-09-15,306.0
