date,total
2022-09-15,168766.0
2022-09-16,169390.0
2022-09-17,170823.0
2022-09-18,171515.0
2022-09-19,172260.0
2022-09-20,172630.0
2022-09-21,172457.0
2022-09-22,173338.0
2022-09-23,173448.0
2022-09-24,174301.0
2022-09-25,174814.0
2022-09-26,174691.0
2022-09-27,174844.0
2022-09-28,175743.0
2022-09-29,175700.0
2022-09-30,176017.0
2022-10-01,174957.0
2022-10-02,176501.0
2022-10-03,176057.0
2022-10-04,175782.0
2022-10-05,175993.0
2022-10-06,176847.0
2022-10-07,176077.0
2022-10-08,177387.0
2022-10-09,177838.0
2022-10-10,177904.0
2022-10-11,177936.0
2022-10-12,178120.0
2022-10-13,178019.0
2022-10-14,178602.0
2022-10-15,178688.0
2022-10-16,178828.0
2022-10-17,178355.0
2022-10-18,178781.0
2022-10-19,178678.0
2022-10-20,179629.0
2022-10-21,180149.0
2022-10-22,180503.0
2022-10-23,180640.0
2022-10-24,178769.0
2022-10-25,179426.0
2022-10-26,181177.0
2022-10-27,181584.0
2022-10-28,181635.0
2022-10-29,182043.0
2022-10-30,183256.0
2022-10-31,183577.0
2022-11-01,182375.0
2022-11-02,184084.0
2022-11-03,184447.0
2022-11-04,184777.0
2022-11-05,184930.0
2022-11-06,185582.0
2022-11-07,185646.0
2022-11-08,185835.0
2022-11-09,185398.0
2022-11-10,186290.0
2022-11-11,186383.0
2022-11-12,186988.0
2022-11-13,187341.0
2022-11-14,187138.0
2022-11-15,187265.0
2022-11-16,187749.0
2022-11-17,188351.0
2022-11-18,188448.0
2022-11-19,189159.0
2022-11-20,189724.0
2022-11-21,189898.0
2022-11-22,190147.0
2022-11-23,190179.0
2022-11-24,191384.0
2022-11-25,191957.0
2022-11-26,192824.0
2022-11-27,192922.0
2022-11-28,193178.0
2022-11-29,193020.0
2022-11-30,193093.0
2022-12-01,193793.0
2022-12-02,194069.0
2022-12-03,194329.0
2022-12-04,194771.0
2022-12-05,194760.0
2022-12-06,194952.0
2022-12-07,188844.0
2022-12-08,195177.0
2022-12-09,194669.0
2022-12-10,195890.0
2022-12-11,196042.0
2022-12-12,196017.0
2022-12-13,196240.0
2022-12-14,196455.0
2022-12-15,196561.0
2022-12-16,196857.0
2022-12-17,196785.0
2022-12-18,196551.0
2022-12-19,197223.0
2022-12-20,197684.0
2022-12-21,197556.0
2022-12-22,197536.0
2022-12-23,197989.0
2022-12-24,197793.0
2022-12-25,198246.0
2022-12-26,197955.0
2022-12-27,198324.0
2022-12-28,198615.0
2022-12-29,198787.0
2022-12-30,198956.0
