,Sync committee reward,date
0,416.0,2022-09-15
1,340.0,2022-09-16
2,288.0,2022-09-17
3,249.0,2022-09-18
4,247.0,2022-09-19
5,284.0,2022-09-20
6,341.0,2022-09-21
7,423.0,2022-09-22
8,455.0,2022-09-23
9,364.0,2022-09-24
10,303.0,2022-09-25
11,258.0,2022-09-26
12,246.0,2022-09-27
13,275.0,2022-09-28
14,326.0,2022-09-29
15,397.0,2022-09-30
16,491.0,2022-10-01
17,387.0,2022-10-02
18,315.0,2022-10-03
19,267.0,2022-10-04
20,247.0,2022-10-05
21,265.0,2022-10-06
22,310.0,2022-10-07
23,375.0,2022-10-08
24,479.0,2022-10-09
25,408.0,2022-10-10
26,333.0,2022-10-11
27,282.0,2022-10-12
28,250.0,2022-10-13
29,254.0,2022-10-14
30,298.0,2022-10-15
31,360.0,2022-10-16
32,445.0,2022-10-17
33,433.0,2022-10-18
34,346.0,2022-10-19
35,288.0,2022-10-20
36,253.0,2022-10-21
37,251.0,2022-10-22
38,287.0,2022-10-23
39,340.0,2022-10-24
40,421.0,2022-10-25
41,466.0,2022-10-26
42,366.0,2022-10-27
43,304.0,2022-10-28
44,261.0,2022-10-29
45,248.0,2022-10-30
46,272.0,2022-10-31
47,323.0,2022-11-01
48,394.0,2022-11-02
49,496.0,2022-11-03
50,388.0,2022-11-04
51,318.0,2022-11-05
52,271.0,2022-11-06
53,249.0,2022-11-07
54,264.0,2022-11-08
55,309.0,2022-11-09
56,370.0,2022-11-10
57,474.0,2022-11-11
58,412.0,2022-11-12
59,335.0,2022-11-13
60,280.0,2022-11-14
61,248.0,2022-11-15
