date,validator_index,final_total_reward,proposer_total_reward,attestation_total_reward,sync_total_reward
2022-09-17,1552,0.0,0.0,462767,13951920.0
2022-09-17,1641,0.0,0.0,1149638,35767917.0
2022-09-17,1780,0.0,0.0,1121095,35367795.0
2022-09-17,1815,0.0,0.0,1153073,35653601.0
2022-09-17,2393,0.0,0.0,1142388,35367779.0
2022-09-17,2459,0.0,0.0,1156811,35367779.0
2022-09-17,2618,0.0,0.0,1149783,35282103.0
2022-09-17,2733,0.0,0.0,1149560,34710355.0
2022-09-17,2980,0.0,0.0,-873600,-36225163.0
2022-09-17,3585,0.0,0.0,459148,14295000.0
2022-09-17,4311,0.0,0.0,1153089,35710773.0
2022-09-17,4452,0.0,0.0,1149773,35739351.0
2022-09-17,4553,0.0,0.0,462767,14266410.0
2022-09-17,4652,0.0,0.0,1153173,35567847.0
2022-09-17,5558,0.0,0.0,455441,14295000.0
2022-09-17,5721,0.0,0.0,1156811,35482183.0
2022-09-17,6081,0.0,0.0,462767,14295000.0
2022-09-17,6423,0.0,0.0,459186,14409360.0
2022-09-17,7113,0.0,0.0,1156811,35767917.0
2022-09-17,9460,0.0,0.0,1145778,35625013.0
2022-09-17,9663,0.0,0.0,997293,28766963.0
2022-09-17,10276,0.0,0.0,1153169,35453597.0
2022-09-17,10582,0.0,0.0,1037406,21048119.0
2022-09-17,12612,0.0,0.0,462767,14323590.0
2022-09-17,13016,0.0,0.0,462767,14180640.0
2022-09-17,13539,0.0,0.0,1153182,35453605.0
2022-09-17,13795,0.0,0.0,1139387,35253487.0
2022-09-17,14592,0.0,0.0,1131109,34367589.0
2022-09-17,14700,0.0,0.0,462767,14152050.0
2022-09-17,15061,0.0,0.0,-791600,-36225163.0
2022-09-17,15360,0.0,0.0,1124693,35482127.0
2022-09-17,15893,0.0,0.0,455510,14123460.0
2022-09-17,16366,0.0,0.0,1135659,34738985.0
2022-09-17,17615,0.0,0.0,-873600,-36225163.0
2022-09-17,18502,0.0,0.0,1138732,34738985.0
2022-09-17,18526,0.0,0.0,462767,13980510.0
2022-09-17,18562,0.0,0.0,462767,13951920.0
2022-09-17,19350,0.0,0.0,459246,14323590.0
2022-09-17,19882,0.0,0.0,1142373,35710777.0
2022-09-17,20220,0.0,0.0,-349440,-14495130.0
2022-09-17,21390,0.0,0.0,459186,14123460.0
2022-09-17,21399,0.0,0.0,1112995,34367589.0
2022-09-17,21761,0.0,0.0,459246,14266410.0
2022-09-17,22305,0.0,0.0,462767,13837560.0
2022-09-17,23058,0.0,0.0,1127916,35653605.0
2022-09-17,23286,0.0,0.0,459149,14352180.0
2022-09-17,23410,0.0,0.0,462767,14352180.0
2022-09-17,24730,0.0,0.0,1156811,35396407.0
2022-09-17,25399,0.0,0.0,462767,14237820.0
2022-09-17,25718,0.0,0.0,1142262,34996267.0
2022-09-17,25764,0.0,0.0,1156811,35653605.0
2022-09-17,25807,0.0,0.0,437460,13866150.0
2022-09-17,26657,0.0,0.0,459325,14380770.0
2022-09-17,26892,0.0,0.0,455607,14380770.0
2022-09-17,27032,0.0,0.0,455675,14295000.0
2022-09-17,27666,0.0,0.0,1149652,35424971.0
2022-09-17,28604,0.0,0.0,459325,13723200.0
2022-09-17,29551,0.0,0.0,1149562,34624755.0
2022-09-17,29588,0.0,0.0,1127829,34367589.0
2022-09-17,29704,0.0,0.0,455744,14123460.0
2022-09-17,30228,0.0,0.0,462767,14094870.0
2022-09-17,30817,0.0,0.0,1138417,35081997.0
2022-09-17,31615,0.0,0.0,1156811,35710773.0
2022-09-17,31892,0.0,0.0,1149701,34796197.0
2022-09-17,31902,0.0,0.0,459002,13951920.0
