,val,date
0,0.0,2022-09-15
1,169386.0,2022-09-16
2,170821.0,2022-09-17
3,171514.0,2022-09-18
4,172252.0,2022-09-19
5,172637.0,2022-09-20
6,172444.0,2022-09-21
7,173337.0,2022-09-22
8,173447.0,2022-09-23
9,174298.0,2022-09-24
10,174813.0,2022-09-25
11,174693.0,2022-09-26
12,174852.0,2022-09-27
13,175732.0,2022-09-28
14,175696.0,2022-09-29
15,176019.0,2022-09-30
16,174954.0,2022-10-01
17,176506.0,2022-10-02
18,176049.0,2022-10-03
19,175792.0,2022-10-04
20,175985.0,2022-10-05
21,176844.0,2022-10-06
22,176077.0,2022-10-07
23,177384.0,2022-10-08
24,177844.0,2022-10-09
25,177920.0,2022-10-10
26,177917.0,2022-10-11
27,178119.0,2022-10-12
28,178018.0,2022-10-13
29,178601.0,2022-10-14
30,178714.0,2022-10-15
31,178803.0,2022-10-16
32,178357.0,2022-10-17
33,178798.0,2022-10-18
34,178668.0,2022-10-19
35,179634.0,2022-10-20
36,180127.0,2022-10-21
37,180510.0,2022-10-22
38,180636.0,2022-10-23
39,178768.0,2022-10-24
40,179423.0,2022-10-25
41,181177.0,2022-10-26
42,181581.0,2022-10-27
43,181634.0,2022-10-28
44,182040.0,2022-10-29
45,183252.0,2022-10-30
46,183579.0,2022-10-31
47,182371.0,2022-11-01
48,184084.0,2022-11-02
49,184452.0,2022-11-03
50,184772.0,2022-11-04
51,184927.0,2022-11-05
52,185579.0,2022-11-06
53,185646.0,2022-11-07
54,185834.0,2022-11-08
55,185395.0,2022-11-09
56,186307.0,2022-11-10
57,186360.0,2022-11-11
58,186986.0,2022-11-12
59,187343.0,2022-11-13
60,187138.0,2022-11-14
61,187267.0,2022-11-15
