,val,date
0,3408.0,2022-09-16
1,3417.0,2022-09-17
2,3429.0,2022-09-18
3,3449.0,2022-09-19
4,3438.0,2022-09-20
5,3382.0,2022-09-21
6,3459.0,2022-09-22
7,3453.0,2022-09-23
8,3477.0,2022-09-24
9,3481.0,2022-09-25
10,3461.0,2022-09-26
11,3460.0,2022-09-27
12,3465.0,2022-09-28
13,3451.0,2022-09-29
14,3471.0,2022-09-30
15,3437.0,2022-10-01
16,3488.0,2022-10-02
17,3466.0,2022-10-03
18,3451.0,2022-10-04
19,3447.0,2022-10-05
20,3456.0,2022-10-06
21,3442.0,2022-10-07
22,3463.0,2022-10-08
23,3463.0,2022-10-09
24,3455.0,2022-10-10
25,3463.0,2022-10-11
26,3477.0,2022-10-12
27,3455.0,2022-10-13
28,3469.0,2022-10-14
29,3473.0,2022-10-15
30,3471.0,2022-10-16
31,3464.0,2022-10-17
32,3474.0,2022-10-18
33,3447.0,2022-10-19
34,3464.0,2022-10-20
35,3444.0,2022-10-21
36,3452.0,2022-10-22
37,3464.0,2022-10-23
38,3407.0,2022-10-24
39,3451.0,2022-10-25
40,3460.0,2022-10-26
41,3474.0,2022-10-27
42,3461.0,2022-10-28
43,3453.0,2022-10-29
44,3486.0,2022-10-30
45,3474.0,2022-10-31
46,3452.0,2022-11-01
47,3456.0,2022-11-02
48,3459.0,2022-11-03
49,3467.0,2022-11-04
50,3463.0,2022-11-05
51,3476.0,2022-11-06
52,3469.0,2022-11-07
53,3471.0,2022-11-08
54,3446.0,2022-11-09
55,3479.0,2022-11-10
56,3456.0,2022-11-11
57,3470.0,2022-11-12
58,3475.0,2022-11-13
59,3465.0,2022-11-14
60,3455.0,2022-11-15
