,val,date
0,338.0,2022-09-16
1,286.0,2022-09-17
2,248.0,2022-09-18
3,247.0,2022-09-19
4,286.0,2022-09-20
5,343.0,2022-09-21
6,426.0,2022-09-22
7,451.0,2022-09-23
8,362.0,2022-09-24
9,301.0,2022-09-25
10,257.0,2022-09-26
11,246.0,2022-09-27
12,277.0,2022-09-28
13,328.0,2022-09-29
14,400.0,2022-09-30
15,487.0,2022-10-01
16,384.0,2022-10-02
17,313.0,2022-10-03
18,266.0,2022-10-04
19,247.0,2022-10-05
20,267.0,2022-10-06
21,311.0,2022-10-07
22,378.0,2022-10-08
23,483.0,2022-10-09
24,405.0,2022-10-10
25,331.0,2022-10-11
26,280.0,2022-10-12
27,250.0,2022-10-13
28,255.0,2022-10-14
29,300.0,2022-10-15
30,362.0,2022-10-16
31,449.0,2022-10-17
32,430.0,2022-10-18
33,344.0,2022-10-19
34,286.0,2022-10-20
35,252.0,2022-10-21
36,251.0,2022-10-22
37,288.0,2022-10-23
38,342.0,2022-10-24
39,424.0,2022-10-25
40,462.0,2022-10-26
41,363.0,2022-10-27
42,302.0,2022-10-28
43,260.0,2022-10-29
44,248.0,2022-10-30
45,274.0,2022-10-31
46,325.0,2022-11-01
47,397.0,2022-11-02
48,493.0,2022-11-03
49,386.0,2022-11-04
50,317.0,2022-11-05
51,270.0,2022-11-06
52,249.0,2022-11-07
53,265.0,2022-11-08
54,311.0,2022-11-09
55,373.0,2022-11-10
56,478.0,2022-11-11
57,409.0,2022-11-12
58,332.0,2022-11-13
59,279.0,2022-11-14
60,248.0,2022-11-15
