proposer_index,total,attestations,sync_aggregate,proposer_slashings,attester_slashings,slot,epoch
428147,1012389,0,1012389,0,0,4700032,146876.0
194069,27711630,26735907,975723,0,0,4700033,146876.0
132880,47899312,46880812,1018500,0,0,4700034,146876.0
78642,27783457,26828104,955353,0,0,4700035,146876.0
42730,28134011,27115511,1018500,0,0,4700036,146876.0
328174,27632849,26622497,1010352,0,0,4700037,146876.0
97280,28028527,27016138,1012389,0,0,4700038,146876.0
279691,24371335,23360983,1010352,0,0,4700039,146876.0
119612,28226223,27207723,1018500,0,0,4700040,146876.0
240409,25595985,24587670,1008315,0,0,4700041,146876.0
329336,32575201,31556701,1018500,0,0,4700042,146876.0
210411,27967970,26953544,1014426,0,0,4700043,146876.0
275116,28114390,27099964,1014426,0,0,4700044,146876.0
20574,25627657,24611194,1016463,0,0,4700045,146876.0
341293,29999115,28980615,1018500,0,0,4700046,146876.0
145584,27739364,26735123,1004241,0,0,4700047,146876.0
198317,28180978,27162478,1018500,0,0,4700048,146876.0
24992,28044336,27025836,1018500,0,0,4700049,146876.0
146384,27609640,26617621,992019,0,0,4700050,146876.0
238405,28131504,27113004,1018500,0,0,4700051,146876.0
140265,27980869,26966443,1014426,0,0,4700052,146876.0
204498,28058319,27039819,1018500,0,0,4700053,146876.0
177626,28224197,27205697,1018500,0,0,4700054,146876.0
676,28200654,27182154,1018500,0,0,4700055,146876.0
79660,28137688,27117151,1020537,0,0,4700056,146876.0
53043,27959587,26945161,1014426,0,0,4700057,146876.0
419968,28236680,27220217,1016463,0,0,4700058,146876.0
386622,28031083,27014620,1016463,0,0,4700059,146876.0
244,28132840,27116377,1016463,0,0,4700060,146876.0
88901,28143463,27127000,1016463,0,0,4700061,146876.0
275194,28133456,27114956,1018500,0,0,4700062,146876.0
48623,27877643,26863217,1014426,0,0,4700063,146876.0
