date,final_total_reward,proposer_total_reward,attestation_total_reward,sync_total_reward
2022-09-15,1142336453893,147823762714,960736468121,33776223058
2022-09-16,1590103889535,205197949000,1336935154055,47970786480
2022-09-17,1609976379528,206454113667,1354427393059,49094872802
2022-09-18,1620454747426,207083260113,1363916989995,49454497318
2022-09-19,1626254416652,207451069783,1369820615547,48982731322
2022-09-20,1630317981664,207790740676,1373551892292,48975348696
2022-09-21,1620720230362,207231342521,1364366561061,49122326780
2022-09-22,1637969144177,208429347679,1379694097764,49845698734
2022-09-23,1644328358861,210056803737,1384329962484,49941592640
2022-09-24,1648529458481,209273429244,1389055945635,50200083602
2022-09-25,1652994601503,209590556968,1393048628639,50355415896
2022-09-26,1647218867844,209328183293,1388059967483,49830717068
2022-09-27,1641227520467,209010389691,1383511377578,48705753198
2022-09-28,1651444364827,209727246883,1391857376074,49859741870
2022-09-29,1646717547782,209517295655,1387661068189,49539183938
2022-09-30,1647044109393,209532037419,1388033391176,49478680798
2022-10-01,1632525271604,208982766585,1374196557723,49345947296
2022-10-02,1652115528579,210067609993,1392193852960,49854065626
2022-10-03,1644680030260,209734667117,1385457582113,49487781030
2022-10-04,1635952750945,209274543686,1377494189223,49184018036
2022-10-05,1640887641236,209651630795,1381883083951,49352926490
2022-10-06,1650276495246,210174184288,1390535683960,49566626998
2022-10-07,1639904687596,209613263295,1381200198639,49091225662
2022-10-08,1655909888478,210624264846,1395757056662,49528566970
2022-10-09,1664308621726,211174279243,1402807855161,50326487322
2022-10-10,1660833497477,210984704574,1399986441903,49862351000
2022-10-11,1661090861831,210994278116,1399939386875,50157196840
2022-10-12,1662984851467,211082471237,1401643516986,50258863244
2022-10-13,1654709058331,210695644888,1394273661307,49739752136
2022-10-14,1661330259438,211211583759,1400826314089,49292361590
2022-10-15,1662190920752,211226254420,1401147763470,49816902862
2022-10-16,1664830156294,211368065926,1403155605208,50306485160
2022-10-17,1657144952974,211021899013,1395874915569,50248138392
2022-10-18,1660885908315,211348217410,1399515588027,50022102878
2022-10-19,1654551613511,211082586889,1394076486678,49392539944
2022-10-20,1661590276167,211628283676,1401019306881,48942685610
2022-10-21,1669045072740,212059317636,1406635265918,50350489186
2022-10-22,1671780075476,212374299165,1409144974213,50260802098
2022-10-23,1672465254830,212499407159,1409572334105,50393513566
2022-10-24,1638503396414,210633219178,1378796123874,49074053362
2022-10-25,1655951619855,211756594383,1394116308550,50078716922
2022-10-26,1675719430563,212910225022,1412082056547,50727148994
2022-10-27,1674347969560,213001341724,1411233783912,50112843924
2022-10-28,1669713544933,212878533975,1406700033064,50134977894
2022-10-29,1672779123132,213216088581,1409109097235,50453937316
2022-10-30,1683433228729,213953203413,1419258511234,50221514082
2022-10-31,1682145767688,214031661341,1418218780629,49895325718
2022-11-01,1666928086049,213404075077,1403203977178,50320033794
2022-11-02,1684463379673,214354975755,1419819355452,50289048466
2022-11-03,1688986952538,214781341829,1423453320041,50752290668
2022-11-04,1688846658454,214772850323,1423549732171,50524075960
2022-11-05,1687529495931,214900385455,1422159014914,50470095562
2022-11-06,1695674492872,215398990349,1429622005829,50653496694
2022-11-07,1695730056359,215315684196,1429451775643,50962596520
2022-11-08,1694743259851,215311348135,1428918504806,50513406910
2022-11-09,1684701175103,214940028434,1419678805347,50082341322
2022-11-10,1696639284582,215613738044,1430957940852,50067605686
2022-11-11,1696649180703,215724191596,1430295755875,50629233232
2022-11-12,1702247789847,216204114865,1434926109210,51117565772
2022-11-13,1703125000909,216414918699,1436018360480,50691721730
2022-11-14,7705576215,970654242,6498806433,236115540
