,Proposer reward,date
0,5049.941642060692,2022-09-15
1,6987.980811556928,2022-09-16
2,7008.802725261983,2022-09-17
3,7005.278430257796,2022-09-18
4,7033.920569706503,2022-09-19
5,7024.183137273354,2022-09-20
6,6938.241014156235,2022-09-21
7,7041.5059665318495,2022-09-22
8,7033.558168805321,2022-09-23
9,7064.065921060256,2022-09-24
10,7066.802731110689,2022-09-25
11,7042.659685309903,2022-09-26
12,7046.924832995873,2022-09-27
13,7056.324669935502,2022-09-28
14,7035.634600782974,2022-09-29
15,7067.44384172969,2022-09-30
16,7023.631223959652,2022-10-01
17,7089.82239049788,2022-10-02
18,7063.4660074223175,2022-10-03
19,7043.361481914465,2022-10-04
20,7037.523182451227,2022-10-05
21,7053.311429402618,2022-10-06
22,7027.854130970312,2022-10-07
23,7053.662720902658,2022-10-08
24,7050.407457224893,2022-10-09
25,7043.60109950754,2022-10-10
26,7055.159429055022,2022-10-11
27,7069.857361875658,2022-10-12
28,7048.847356503682,2022-10-13
29,7066.083103357295,2022-10-14
30,7071.569583885828,2022-10-15
31,7060.104525379796,2022-10-16
32,7059.71033875517,2022-10-17
33,7066.060932584274,2022-10-18
34,7040.271441738352,2022-10-19
35,7063.119652980776,2022-10-20
36,7030.040097924524,2022-10-21
37,7041.889800930159,2022-10-22
38,7053.861166307991,2022-10-23
39,6991.598987180003,2022-10-24
40,7046.447707320653,2022-10-25
41,7046.044223129349,2022-10-26
42,7073.257361470188,2022-10-27
43,7055.455891997237,2022-10-28
44,7047.069844068965,2022-10-29
45,7084.777644689974,2022-10-30
46,7069.0355120197055,2022-10-31
47,7043.551280020677,2022-11-01
48,7048.979977014448,2022-11-02
49,7051.398069244091,2022-11-03
50,7061.951789910622,2022-11-04
51,7058.48458205186,2022-11-05
52,7074.78773231471,2022-11-06
53,7065.183032935913,2022-11-07
54,7073.41333390585,2022-11-08
55,7037.270598474358,2022-11-09
56,7080.722106047634,2022-11-10
57,7049.638772159375,2022-11-11
58,7070.875136246231,2022-11-12
59,7077.033073919777,2022-11-13
60,7067.807640323288,2022-11-14
61,7053.5844395803615,2022-11-15
