,Proposer reward,date
0,2457.0,2022-09-15
1,3407.0,2022-09-16
2,3420.0,2022-09-17
3,3427.0,2022-09-18
4,3448.0,2022-09-19
5,3439.0,2022-09-20
6,3382.0,2022-09-21
7,3458.0,2022-09-22
8,3453.0,2022-09-23
9,3477.0,2022-09-24
10,3482.0,2022-09-25
11,3461.0,2022-09-26
12,3460.0,2022-09-27
13,3465.0,2022-09-28
14,3450.0,2022-09-29
15,3471.0,2022-09-30
16,3436.0,2022-10-01
17,3486.0,2022-10-02
18,3469.0,2022-10-03
19,3450.0,2022-10-04
20,3446.0,2022-10-05
21,3457.0,2022-10-06
22,3441.0,2022-10-07
23,3462.0,2022-10-08
24,3464.0,2022-10-09
25,3454.0,2022-10-10
26,3463.0,2022-10-11
27,3477.0,2022-10-12
28,3457.0,2022-10-13
29,3470.0,2022-10-14
30,3472.0,2022-10-15
31,3470.0,2022-10-16
32,3464.0,2022-10-17
33,3473.0,2022-10-18
34,3447.0,2022-10-19
35,3465.0,2022-10-20
36,3444.0,2022-10-21
37,3451.0,2022-10-22
38,3463.0,2022-10-23
39,3409.0,2022-10-24
40,3451.0,2022-10-25
41,3457.0,2022-10-26
42,3473.0,2022-10-27
43,3461.0,2022-10-28
44,3453.0,2022-10-29
45,3485.0,2022-10-30
46,3472.0,2022-10-31
47,3451.0,2022-11-01
48,3455.0,2022-11-02
49,3458.0,2022-11-03
50,3468.0,2022-11-04
51,3463.0,2022-11-05
52,3477.0,2022-11-06
53,3469.0,2022-11-07
54,3472.0,2022-11-08
55,3447.0,2022-11-09
56,3479.0,2022-11-10
57,3457.0,2022-11-11
58,3470.0,2022-11-12
59,3475.0,2022-11-13
60,3463.0,2022-11-14
61,3455.0,2022-11-15
