,attestation_total_reward,date
0,0.024216086817492766,2022-09-15
1,0.02337679813285809,2022-09-16
2,0.017974364179549784,2022-09-17
3,0.015439345177926223,2022-09-18
4,0.2277045463723777,2022-09-19
5,0.013126803144963395,2022-09-20
6,0.44939081256877444,2022-09-21
7,0.011276429215865136,2022-09-22
8,0.011918439203704168,2022-09-23
9,0.3417499455940005,2022-09-24
10,0.010045309583517126,2022-09-25
11,0.12012113532251201,2022-09-26
12,0.01281131019796633,2022-09-27
13,0.11628993494210849,2022-09-28
14,0.010662829507509297,2022-09-29
15,0.336085459281406,2022-09-30
16,0.01672691285197181,2022-10-01
17,0.010387553819692252,2022-10-02
18,0.45244432009880486,2022-10-03
19,0.014418590218139293,2022-10-04
20,0.23429406041547862,2022-10-05
21,0.01127695171420906,2022-10-06
22,0.01615682917694583,2022-10-07
23,0.01070692984578514,2022-10-08
24,0.2251629336038945,2022-10-09
25,0.00936084589175068,2022-10-10
26,0.4477382996659307,2022-10-11
27,0.009426768723073353,2022-10-12
28,0.01086069712271387,2022-10-13
29,0.3411254628552467,2022-10-14
30,0.00924546037432239,2022-10-15
31,0.11875934128861987,2022-10-16
32,0.01155554945576065,2022-10-17
33,0.11539611937889149,2022-10-18
34,0.013597367866605037,2022-10-19
35,0.33767228354678647,2022-10-20
36,0.009872672784960512,2022-10-21
37,0.00963949598281566,2022-10-22
38,0.451814212820711,2022-10-23
39,0.018187750124323054,2022-10-24
40,0.23285060513609745,2022-10-25
41,0.010792099316499604,2022-10-26
42,0.011544767707293957,2022-10-27
43,0.013228258118552771,2022-10-28
44,0.22639479914152227,2022-10-29
45,0.010157207148597358,2022-10-30
46,0.4476107093539303,2022-10-31
47,0.01727680533988951,2022-11-01
48,0.01108066058074697,2022-11-02
49,0.3420465137616513,2022-11-03
50,0.010854072562042516,2022-11-04
51,0.12052189562754889,2022-11-05
52,0.008712086201331903,2022-11-06
53,0.11426833668571024,2022-11-07
54,0.009100007892584694,2022-11-08
55,0.33844160536407375,2022-11-09
56,0.010184930568424067,2022-11-10
57,0.010712449227368914,2022-11-11
58,0.45149524822010445,2022-11-12
59,0.009669414328464576,2022-11-13
60,0.22981384953650186,2022-11-14
61,0.013245621582690603,2022-11-15
