,proposer_total_reward,date
0,5049.941642060705,2022-09-15
1,6987.980811556919,2022-09-16
2,7049.660308871036,2022-09-17
3,7005.278430257813,2022-09-18
4,7054.7887756683085,2022-09-19
5,7024.183137273354,2022-09-20
6,6947.620404046723,2022-09-21
7,7041.505966531858,2022-09-22
8,7033.558168805338,2022-09-23
9,7088.734112993703,2022-09-24
10,7066.802731110672,2022-09-25
11,7080.778705208747,2022-09-26
12,7046.924832995873,2022-09-27
13,7100.913931069339,2022-09-28
14,7035.634600782983,2022-09-29
15,7081.011827187572,2022-09-30
16,7023.63122395966,2022-10-01
17,7089.822390497862,2022-10-02
18,7071.473515636836,2022-10-03
19,7043.361481914474,2022-10-04
20,7065.00888850604,2022-10-05
21,7053.311429402626,2022-10-06
22,7074.079969380816,2022-10-07
23,7053.66272090265,2022-10-08
24,7089.127054451012,2022-10-09
25,7043.601099507532,2022-10-10
26,7064.731357628132,2022-10-11
27,7069.8573618756145,2022-10-12
28,7048.8473565036475,2022-10-13
29,7081.131765164779,2022-10-14
30,7071.569583885837,2022-10-15
31,7097.239569453914,2022-10-16
32,7059.710338755187,2022-10-17
33,7103.571063591597,2022-10-18
34,7040.271441738334,2022-10-19
35,7082.3995724068745,2022-10-20
36,7030.040097924524,2022-10-21
37,7041.889800930133,2022-10-22
38,7064.832310873203,2022-10-23
39,6991.598987179986,2022-10-24
40,7071.213262954598,2022-10-25
41,7046.04422312934,2022-10-26
42,7107.616434234138,2022-10-27
43,7055.455891997246,2022-10-28
44,7079.954496320722,2022-10-29
45,7084.777644689957,2022-10-30
46,7080.0523992714125,2022-10-31
47,7043.551280020668,2022-11-01
48,7048.979977014484,2022-11-02
49,7062.369970280832,2022-11-03
50,7061.951789910588,2022-11-04
51,7094.408176476441,2022-11-05
52,7074.787732314719,2022-11-06
53,7110.634318833897,2022-11-07
54,7073.413333905858,2022-11-08
55,7060.275037425868,2022-11-09
56,7080.722106047651,2022-11-10
57,7049.638772159392,2022-11-11
58,7080.436673970109,2022-11-12
59,7077.033073919794,2022-11-13
60,7093.510273947928,2022-11-14
61,7053.584439580371,2022-11-15
