,sync_total_reward,date
0,980.1131647033106,2022-09-15
1,910.376280307886,2022-09-16
2,1368.8517504262918,2022-09-17
3,520.5345988931542,2022-09-18
4,912.3265081161492,2022-09-19
5,744.6131627120346,2022-09-20
6,1107.7641386712162,2022-09-21
7,997.9227166438455,2022-09-22
8,1006.7558884859709,2022-09-23
9,1378.83883103491,2022-09-24
10,809.662984294648,2022-09-25
11,1139.7568001559723,2022-09-26
12,503.04895862806,2022-09-27
13,1291.8921713650957,2022-09-28
14,877.9213891314945,2022-09-29
15,1419.2710443284811,2022-09-30
16,1012.3379860221472,2022-10-01
17,973.1935252920545,2022-10-02
18,1032.078964334669,2022-10-03
19,655.0485955986212,2022-10-04
20,911.3986264725766,2022-10-05
21,639.5129008280767,2022-10-06
22,1408.9326325113466,2022-10-07
23,955.7133935516841,2022-10-08
24,1456.548820369524,2022-10-09
25,989.2736597141054,2022-10-10
26,1016.7468215982459,2022-10-11
27,721.4963263207889,2022-10-12
28,508.7041127313761,2022-10-13
29,851.7782410194643,2022-10-14
30,798.2295178128206,2022-10-15
31,1217.914671770618,2022-10-16
32,1009.1185352309866,2022-10-17
33,1121.5716931483396,2022-10-18
34,917.4476143439866,2022-10-19
35,846.7749830093852,2022-10-20
36,536.7182321338436,2022-10-21
37,508.7713628734036,2022-10-22
38,811.9541893630067,2022-10-23
39,903.1320869990066,2022-10-24
40,1284.9841368901145,2022-10-25
41,1014.6616132827693,2022-10-26
42,1403.659670087637,2022-10-27
43,815.0327012675208,2022-10-28
44,1037.7348437140279,2022-10-29
45,504.88780714478673,2022-10-30
46,850.0571732276898,2022-10-31
47,864.0328234679694,2022-11-01
48,977.8753065909834,2022-11-02
49,1396.553516539973,2022-11-03
50,971.1751608569344,2022-11-04
51,1472.5886943551996,2022-11-05
52,667.4214592754303,2022-11-06
53,993.5371719897043,2022-11-07
54,629.4311590903435,2022-11-08
55,1255.0361942914003,2022-11-09
56,949.676020258493,2022-11-10
57,1009.1174135757877,2022-11-11
58,1191.9748628413654,2022-11-12
59,892.7021069665677,2022-11-13
60,1258.7550727017215,2022-11-14
61,507.56186565233764,2022-11-15
