,Attestation reward,date
0,422462.57566110225,2022-09-15
1,423811.29754865594,2022-09-16
2,425477.69529930095,2022-09-17
3,426184.2616708945,2022-09-18
4,427485.79671550146,2022-09-19
5,428454.04018076166,2022-09-20
6,428873.4868399381,2022-09-21
7,429916.4406737216,2022-09-22
8,430677.98555816326,2022-09-23
9,432095.91817006975,2022-09-24
10,432906.79900117416,2022-09-25
11,433137.09305652574,2022-09-26
12,433847.5385425519,2022-09-27
13,434982.5161256626,2022-09-28
14,435589.9676449918,2022-09-29
15,436108.45286589564,2022-09-30
16,435967.5600725602,2022-10-01
17,437670.4551345674,2022-10-02
18,437689.86246006284,2022-10-03
19,437883.6504716642,2022-10-04
20,437889.4270905634,2022-10-05
21,438945.1331775469,2022-10-06
22,438724.4738968736,2022-10-07
23,439905.78516702075,2022-10-08
24,440246.4738790882,2022-10-09
25,440632.3455593399,2022-10-10
26,440963.2325630587,2022-10-11
27,441144.1249727419,2022-10-12
28,441625.30315474124,2022-10-13
29,442141.8234598339,2022-10-14
30,442426.1165779953,2022-10-15
31,442586.9465805708,2022-10-16
32,442703.67057119386,2022-10-17
33,443133.2339861698,2022-10-18
34,444273.617606468,2022-10-19
35,445647.2631521595,2022-10-20
36,446411.512431277,2022-10-21
37,447019.5186074457,2022-10-22
38,447314.72867334826,2022-10-23
39,445632.6921587926,2022-10-24
40,446345.45458969485,2022-10-25
41,449312.43189510866,2022-10-26
42,450481.55631702155,2022-10-27
43,451341.1373234736,2022-10-28
44,452530.1564663726,2022-10-29
45,454105.3757918163,2022-10-30
46,455274.97860957833,2022-10-31
47,453816.15258693206,2022-11-01
48,456765.40978476056,2022-11-02
49,457564.75114333985,2022-11-03
50,458093.53593017167,2022-11-04
51,458563.3828459384,2022-11-05
52,459484.67554684565,2022-11-06
53,459874.4981372331,2022-11-07
54,460187.2506614932,2022-11-08
55,459972.5357000957,2022-11-09
56,461516.3585318701,2022-11-10
57,462196.90223329124,2022-11-11
58,463328.7788935556,2022-11-12
59,464127.3247540662,2022-11-13
60,464614.0887574051,2022-11-14
61,465502.86985686165,2022-11-15
