,Proposer reward,date
0,5049.941642060687,2022-09-15
1,6987.980811556953,2022-09-16
2,7008.802725262,2022-09-17
3,7005.278430257813,2022-09-18
4,7033.920569706529,2022-09-19
5,7024.183137273345,2022-09-20
6,6938.241014156235,2022-09-21
7,7041.505966531815,2022-09-22
8,7033.558168805321,2022-09-23
9,7064.065921060231,2022-09-24
10,7066.802731110681,2022-09-25
11,7042.659685309911,2022-09-26
12,7046.924832995881,2022-09-27
13,7056.324669935485,2022-09-28
14,7035.634600782949,2022-09-29
15,7067.443841729681,2022-09-30
16,7023.631223959652,2022-10-01
17,7089.822390497906,2022-10-02
18,7063.4660074223,2022-10-03
19,7043.361481914465,2022-10-04
20,7037.523182451244,2022-10-05
21,7053.311429402635,2022-10-06
22,7027.85413097033,2022-10-07
23,7053.662720902632,2022-10-08
24,7050.407457224919,2022-10-09
25,7043.60109950754,2022-10-10
26,7055.159429054979,2022-10-11
27,7069.857361875632,2022-10-12
28,7048.847356503691,2022-10-13
29,7066.083103357303,2022-10-14
30,7071.569583885811,2022-10-15
31,7060.104525379796,2022-10-16
32,7059.7103387551615,2022-10-17
33,7066.0609325842925,2022-10-18
34,7040.271441738343,2022-10-19
35,7063.119652980785,2022-10-20
36,7030.040097924541,2022-10-21
37,7041.889800930159,2022-10-22
38,7053.861166307956,2022-10-23
39,6991.598987179986,2022-10-24
40,7046.447707320653,2022-10-25
41,7046.044223129349,2022-10-26
42,7073.257361470205,2022-10-27
43,7055.455891997237,2022-10-28
44,7047.069844068973,2022-10-29
45,7084.777644689983,2022-10-30
46,7069.035512019723,2022-10-31
47,7043.551280020668,2022-11-01
48,7048.979977014423,2022-11-02
49,7051.398069244117,2022-11-03
50,7061.95178991063,2022-11-04
51,7058.484582051826,2022-11-05
52,7074.787732314684,2022-11-06
53,7065.1830329359045,2022-11-07
54,7073.41333390585,2022-11-08
55,7037.270598474383,2022-11-09
56,7080.722106047634,2022-11-10
57,7049.638772159392,2022-11-11
58,7070.875136246249,2022-11-12
59,7077.033073919786,2022-11-13
60,7067.807640323323,2022-11-14
61,7053.58443958038,2022-11-15
