,Sync committee reward,date
0,980.1131647033118,2022-09-15
1,910.376280307886,2022-09-16
2,763.9161122293906,2022-09-17
3,520.5345988931542,2022-09-18
4,503.6024592736148,2022-09-19
5,744.6131627120366,2022-09-20
6,903.9482509425603,2022-09-21
7,997.9227166438455,2022-09-22
8,1006.755888485972,2022-09-23
9,946.3954551882596,2022-09-24
10,809.662984294648,2022-09-25
11,596.8874011761116,2022-09-26
12,503.0489586280619,2022-09-27
13,697.1257097945422,2022-09-28
14,877.921389131501,2022-09-29
15,981.0166739178803,2022-09-30
16,1012.3379860221435,2022-10-01
17,973.1935252920556,2022-10-02
18,849.5494614774038,2022-10-03
19,655.048595598618,2022-10-04
20,507.0167526638355,2022-10-05
21,639.5129008280775,2022-10-06
22,835.5700681609612,2022-10-07
23,955.7133935516841,2022-10-08
24,1014.009477402194,2022-10-09
25,989.2736597141065,2022-10-10
26,890.5825288472747,2022-10-11
27,721.496326320788,2022-10-12
28,508.7041127313774,2022-10-13
29,571.8790336620343,2022-10-14
30,798.2295178128206,2022-10-15
31,940.1070289165333,2022-10-16
32,1009.1185352309916,2022-10-17
33,1000.7246171452554,2022-10-18
34,917.4476143439866,2022-10-19
35,765.3386411313398,2022-10-20
36,536.7182321338436,2022-10-21
37,508.77136287340295,2022-10-22
38,743.8049335074259,2022-10-23
39,903.1320869990066,2022-10-24
40,993.6758021788046,2022-10-25
41,1014.6616132827693,2022-10-26
42,943.4630218315542,2022-10-27
43,815.0327012675208,2022-10-28
44,611.9235687946241,2022-10-29
45,504.88780714478736,2022-10-30
46,684.7392719353999,2022-10-31
47,864.0328234679652,2022-11-01
48,977.8753065909798,2022-11-02
49,1016.6254293778975,2022-11-03
50,971.1751608569308,2022-11-04
51,855.0996520711817,2022-11-05
52,667.4214592754287,2022-11-06
53,509.4181756580139,2022-11-07
54,629.4311590903459,2022-11-08
55,830.4638932508666,2022-11-09
56,949.676020258493,2022-11-10
57,1009.1174135757877,2022-11-11
58,992.9761014560972,2022-11-12
59,892.702106966571,2022-11-13
60,725.2132936865485,2022-11-14
61,507.56186565233764,2022-11-15
