,Attestation reward,date
0,2.9086212512877908e-08,2022-09-15
1,2.8557677936598184e-08,2022-09-16
2,2.089075376491898e-08,2022-09-17
3,2.0321019296764425e-08,2022-09-18
4,1.5822441247783312e-08,2022-09-19
5,1.4740194823632091e-08,2022-09-20
6,1.5203837393712897e-08,2022-09-21
7,1.2870986973482627e-08,2022-09-22
8,1.375076025330354e-08,2022-09-23
9,1.3627945750406051e-08,2022-09-24
10,1.1070882694359461e-08,2022-09-25
11,1.1910393403570545e-08,2022-09-26
12,1.3852743878727425e-08,2022-09-27
13,1.1084670716112854e-08,2022-09-28
14,1.0796525328575618e-08,2022-09-29
15,1.148111104536013e-08,2022-09-30
16,1.9700454743208198e-08,2022-10-01
17,9.95884060896858e-09,2022-10-02
18,1.1730480183311792e-08,2022-10-03
19,1.2737531439198054e-08,2022-10-04
20,1.4659631233321648e-08,2022-10-05
21,1.0269854479467738e-08,2022-10-06
22,1.58356114299749e-08,2022-10-07
23,1.0085894990990193e-08,2022-10-08
24,8.538809724710704e-09,2022-10-09
25,8.480897395646537e-09,2022-10-10
26,8.192898795395772e-09,2022-10-11
27,8.744921833716775e-09,2022-10-12
28,1.03210086130808e-08,2022-10-13
29,8.879126146509506e-09,2022-10-14
30,8.606892861912546e-09,2022-10-15
31,9.328760232669897e-09,2022-10-16
32,1.0797296530791482e-08,2022-10-17
33,1.0877354491361329e-08,2022-10-18
34,1.2324462240717574e-08,2022-10-19
35,1.0369998922955856e-08,2022-10-20
36,9.000458916841813e-09,2022-10-21
37,9.848250913081787e-09,2022-10-22
38,1.072168115929373e-08,2022-10-23
39,2.3386197928445124e-08,2022-10-24
40,2.2621498491000642e-08,2022-10-25
41,1.0481692204086906e-08,2022-10-26
42,9.95709756860271e-09,2022-10-27
43,1.3023460732848518e-08,2022-10-28
44,1.1641222989951787e-08,2022-10-29
45,9.400490000435614e-09,2022-10-30
46,8.828369347183014e-09,2022-10-31
47,2.306984561291088e-08,2022-11-01
48,9.872759528537797e-09,2022-11-02
49,8.683023560125682e-09,2022-11-03
50,1.0522269751005965e-08,2022-11-04
51,1.0635004573695348e-08,2022-11-05
52,7.411959643071188e-09,2022-11-06
53,7.3142494704629514e-09,2022-11-07
54,7.5906942109369e-09,2022-11-08
55,1.2862618400849953e-08,2022-11-09
56,8.963749039722807e-09,2022-11-10
57,9.105334335394645e-09,2022-11-11
58,9.44343314392824e-09,2022-11-12
59,8.177149564162978e-09,2022-11-13
60,1.2024908110001762e-08,2022-11-14
61,1.227789940650504e-08,2022-11-15
