,Proposer reward,date
0,3.3069038541788564e-06,2022-09-15
1,2.3880494166530903e-06,2022-09-16
2,2.4553464176361935e-06,2022-09-17
3,2.3384829846301174e-06,2022-09-18
4,1.9774990895215174e-06,2022-09-19
5,2.1637201491989264e-06,2022-09-20
6,2.880523724954083e-06,2022-09-21
7,2.0864976929621574e-06,2022-09-22
8,4.246029285299817e-06,2022-09-23
9,1.9016037452606537e-06,2022-09-24
10,1.789765912530701e-06,2022-09-25
11,2.0116085568301106e-06,2022-09-26
12,1.9577493968649345e-06,2022-09-27
13,1.9482318282348006e-06,2022-09-28
14,2.2512686600262557e-06,2022-09-29
15,1.7901622677288653e-06,2022-09-30
16,2.3971320025481617e-06,2022-10-01
17,1.6630719482492182e-06,2022-10-02
18,1.8256427270962569e-06,2022-10-03
19,1.9710253144594463e-06,2022-10-04
20,2.15934486386854e-06,2022-10-05
21,2.024613575099829e-06,2022-10-06
22,2.234081651217927e-06,2022-10-07
23,2.0823198361387215e-06,2022-10-08
24,2.028023037462806e-06,2022-10-09
25,2.2134975070804593e-06,2022-10-10
26,1.9814049993210215e-06,2022-10-11
27,1.7090269030873352e-06,2022-10-12
28,2.056752142783066e-06,2022-10-13
29,1.8007242867112067e-06,2022-10-14
30,1.7651094370118914e-06,2022-10-15
31,1.7620804506781924e-06,2022-10-16
32,1.850928944644141e-06,2022-10-17
33,1.9654463922992686e-06,2022-10-18
34,2.2101909330538764e-06,2022-10-19
35,1.9439907204887704e-06,2022-10-20
36,2.4420605927753486e-06,2022-10-21
37,2.277049823973517e-06,2022-10-22
38,2.0947768081468027e-06,2022-10-23
39,2.5991633251715846e-06,2022-10-24
40,2.0254185524425714e-06,2022-10-25
41,2.2052750723591357e-06,2022-10-26
42,1.7379303492214189e-06,2022-10-27
43,1.8922928956794136e-06,2022-10-28
44,2.0079935339006123e-06,2022-10-29
45,1.6674604807768801e-06,2022-10-30
46,1.8001858193304547e-06,2022-10-31
47,2.0517423307928226e-06,2022-11-01
48,1.95425169924701e-06,2022-11-02
49,1.874679433744449e-06,2022-11-03
50,1.907635217317542e-06,2022-11-04
51,2.0214120776553163e-06,2022-11-05
52,1.815886322283615e-06,2022-11-06
53,1.871224657684038e-06,2022-11-07
54,1.7512510762378442e-06,2022-11-08
55,2.1861894026168045e-06,2022-11-09
56,1.54514150268785e-06,2022-11-10
57,1.955962745586436e-06,2022-11-11
58,1.7845867258868637e-06,2022-11-12
59,1.7516771761831477e-06,2022-11-13
60,1.8661121514238758e-06,2022-11-14
61,1.8450365324309192e-06,2022-11-15
