,Sync committee reward,date
0,4.737639694846645e-05,2022-09-15
1,0.00020105848046290253,2022-09-16
2,0.0005096736964822758,2022-09-17
3,0.0009726703901653414,2022-09-18
4,9.71380834729005e-06,2022-09-19
5,0.0005438351107100481,2022-09-20
6,0.00021349154664679717,2022-09-21
7,3.667463904187134e-05,2022-09-22
8,1.5994757994548157e-05,2022-09-23
9,0.00013950473019978162,2022-09-24
10,0.0004127822495959257,2022-09-25
11,0.000843411061805029,2022-09-26
12,1.1365770069672978e-05,2022-09-27
13,0.0006441201736664741,2022-09-28
14,0.000278927642176064,2022-09-29
15,6.989154016637997e-05,2022-09-30
16,5.526572297691696e-06,2022-10-01
17,8.713410706475543e-05,2022-10-02
18,0.0003301575341525805,2022-10-03
19,0.0007237284437620284,2022-10-04
20,1.2897895256880565e-05,2022-10-05
21,0.0007642273252172136,2022-10-06
22,0.00035923484590993964,2022-10-07
23,0.00011149749044949033,2022-10-08
24,6.501649712963899e-06,2022-10-09
25,5.7170430758274275e-05,2022-10-10
26,0.00025322208086483414,2022-10-11
27,0.0006011000734752307,2022-10-12
28,1.3211583687848923e-05,2022-10-13
29,0.0009021917394347952,2022-10-14
30,0.00044305080342629165,2022-10-15
31,0.000157048657538874,2022-10-16
32,2.057613259418275e-05,2022-10-17
33,2.9591309343308786e-05,2022-10-18
34,0.00019098376265640373,2022-10-19
35,0.0005080363881771286,2022-10-20
36,0.0009484806530389353,2022-10-21
37,5.9827677609685556e-06,2022-10-22
38,0.0005477926069222489,2022-10-23
39,0.00021094096639849956,2022-10-24
40,3.888346757261786e-05,2022-10-25
41,9.670740726367236e-06,2022-10-26
42,0.00013888314869571144,2022-10-27
43,0.00040985118868699656,2022-10-28
44,0.0008194881791809533,2022-10-29
45,7.024991228708722e-06,2022-10-30
46,0.0006659020136442949,2022-10-31
47,0.00029674107728446707,2022-11-01
48,7.18143038573985e-05,2022-11-02
49,5.422337657569035e-06,2022-11-03
50,8.71869114944872e-05,2022-11-04
51,0.00031708641172879717,2022-11-05
52,0.0007041167221262467,2022-11-06
53,1.0173945963322693e-05,2022-11-07
54,0.0007830672530384612,2022-11-08
55,0.0003690360427548177,2022-11-09
56,0.00011805508986887213,2022-11-10
57,8.851391759562747e-06,2022-11-11
58,4.990207165355195e-05,2022-11-12
59,0.00024062925545654607,2022-11-13
60,0.0005886517209843906,2022-11-14
61,9.872589137750189e-06,2022-11-15
