,Total reward,date
0,4.2077461328836845e-06,2022-09-15
1,3.4539649905844804e-06,2022-09-16
2,3.715102778367647e-06,2022-09-17
3,4.145435759818603e-06,2022-09-18
4,4.12048851119011e-06,2022-09-19
5,3.6793872399085113e-06,2022-09-20
6,3.4561768747669564e-06,2022-09-21
7,3.2234883717854007e-06,2022-09-22
8,3.249671707289864e-06,2022-09-23
9,3.3008560591971973e-06,2022-09-24
10,3.5592805550738188e-06,2022-09-25
11,3.97751672533544e-06,2022-09-26
12,4.072952634268013e-06,2022-09-27
13,3.746256912622057e-06,2022-09-28
14,3.4317568050377758e-06,2022-09-29
15,3.218120533011629e-06,2022-09-30
16,3.2361954013765364e-06,2022-10-01
17,3.2298089076784617e-06,2022-10-02
18,3.4716613926581834e-06,2022-10-03
19,3.8662193132045775e-06,2022-10-04
20,4.094873748990668e-06,2022-10-05
21,3.856646646022931e-06,2022-10-06
22,3.5314761283645873e-06,2022-10-07
23,3.2651448016026297e-06,2022-10-08
24,3.1713494416477177e-06,2022-10-09
25,3.2149577919306207e-06,2022-10-10
26,3.40404723084204e-06,2022-10-11
27,3.7071896276097676e-06,2022-10-12
28,4.0666721109816995e-06,2022-10-13
29,3.927419606181116e-06,2022-10-14
30,3.5350345165579477e-06,2022-10-15
31,3.299028054549799e-06,2022-10-16
32,3.1951808402978383e-06,2022-10-17
33,3.1910984291252816e-06,2022-10-18
34,3.3482907839415588e-06,2022-10-19
35,3.598080506081599e-06,2022-10-20
36,4.042930566588853e-06,2022-10-21
37,4.055726673280232e-06,2022-10-22
38,3.668700798253282e-06,2022-10-23
39,3.451561644836601e-06,2022-10-24
40,3.255332734865417e-06,2022-10-25
41,3.181949816040864e-06,2022-10-26
42,3.283241709409904e-06,2022-10-27
43,3.5360403191585103e-06,2022-10-28
44,3.928793427658904e-06,2022-10-29
45,4.033712426297781e-06,2022-10-30
46,3.7406968545408914e-06,2022-10-31
47,3.490820774340015e-06,2022-11-01
48,3.228640844374158e-06,2022-11-02
49,3.1654043219058036e-06,2022-11-03
50,3.2389587045197614e-06,2022-11-04
51,3.4415872099280524e-06,2022-11-05
52,3.779570338681216e-06,2022-11-06
53,4.031016188846949e-06,2022-11-07
54,3.828347778920056e-06,2022-11-08
55,3.5076207528325e-06,2022-11-09
56,3.235735454128176e-06,2022-11-10
57,3.161543327034733e-06,2022-11-11
58,3.195167233026041e-06,2022-11-12
59,3.3601329925525844e-06,2022-11-13
60,3.679862067050009e-06,2022-11-14
61,4.05410443385813e-06,2022-11-15
