,Total reward,date
0,6.5478207634518974e-06,2022-09-15
1,5.787940665887687e-06,2022-09-16
2,6.04619969151117e-06,2022-09-17
3,6.472804459754926e-06,2022-09-18
4,6.445022392600012e-06,2022-09-19
5,5.999790436073242e-06,2022-09-20
6,5.773923794060702e-06,2022-09-21
7,5.537754657935232e-06,2022-09-22
8,5.5590796893879514e-06,2022-09-23
9,5.603086234959102e-06,2022-09-24
10,5.859101032103003e-06,2022-09-25
11,6.275386183962767e-06,2022-09-26
12,6.365611572458515e-06,2022-09-27
13,6.035017804287932e-06,2022-09-28
14,5.7175781908976245e-06,2022-09-29
15,5.50065539172105e-06,2022-09-30
16,5.514159814456191e-06,2022-10-01
17,5.505585621835642e-06,2022-10-02
18,5.745853831712133e-06,2022-10-03
19,6.138741535786915e-06,2022-10-04
20,6.3658884541578185e-06,2022-10-05
21,6.125719166662164e-06,2022-10-06
22,5.798332460224168e-06,2022-10-07
23,5.529425063479267e-06,2022-10-08
24,5.434876500276782e-06,2022-10-09
25,5.476692921635233e-06,2022-10-10
26,5.664248335073307e-06,2022-10-11
27,5.966042200362873e-06,2022-10-12
28,6.321800142625535e-06,2022-10-13
29,6.181018217464012e-06,2022-10-14
30,5.787304170417751e-06,2022-10-15
31,5.5498179740656645e-06,2022-10-16
32,5.4444167832461456e-06,2022-10-17
33,5.437757207526668e-06,2022-10-18
34,5.588396543517407e-06,2022-10-19
35,5.832864149014392e-06,2022-10-20
36,6.2748999908710675e-06,2022-10-21
37,6.2839561022346905e-06,2022-10-22
38,5.894768438232717e-06,2022-10-23
39,5.676069912112981e-06,2022-10-24
40,5.477384772532133e-06,2022-10-25
41,5.398328503386817e-06,2022-10-26
42,5.494386172262092e-06,2022-10-27
43,5.740603481129839e-06,2022-10-28
44,6.128903150216437e-06,2022-10-29
45,6.227470208767335e-06,2022-10-30
46,5.9293082833005466e-06,2022-10-31
47,5.675449908610468e-06,2022-11-01
48,5.409178547866204e-06,2022-11-02
49,5.34316417215315e-06,2022-11-03
50,5.412519772092289e-06,2022-11-04
51,5.6129909369660085e-06,2022-11-05
52,5.949126620285612e-06,2022-11-06
53,6.198836434600305e-06,2022-11-07
54,5.994435747668099e-06,2022-11-08
55,5.669728582672389e-06,2022-11-09
56,5.394660401589587e-06,2022-11-10
57,5.317122389520151e-06,2022-11-11
58,5.3450322314625835e-06,2022-11-12
59,5.507232658821337e-06,2022-11-13
60,5.821181810386054e-06,2022-11-14
61,6.19110818409174e-06,2022-11-15
