,Total reward,date
0,319216.078222219,2022-09-15
1,329558.2434885506,2022-09-16
2,329471.17434463033,2022-09-17
3,327011.3764743628,2022-09-18
4,328224.77089198073,2022-09-19
5,332194.9391066517,2022-09-20
6,333275.17925521353,2022-09-21
7,335756.3902365656,2022-09-22
8,335939.58218195004,2022-09-23
9,337047.70403959195,2022-09-24
10,336164.50417162944,2022-09-25
11,333395.28188642027,2022-09-26
12,333009.12544003344,2022-09-27
13,336419.36878817016,2022-09-28
14,338653.0196558136,2022-09-29
15,340340.22383731115,2022-09-30
16,339474.7495240207,2022-10-01
17,341354.78890249954,2022-10-02
18,339744.95514182356,2022-10-03
19,337108.6020126431,2022-10-04
20,335278.4479472926,2022-10-05
21,338144.43108368106,2022-10-06
22,339880.7074829972,2022-10-07
23,342619.2719263514,2022-10-08
24,343408.1638612132,2022-10-09
25,343469.2542817873,2022-10-10
26,342548.1479775279,2022-10-11
27,340872.58604216453,2022-10-12
28,338212.9165610452,2022-10-13
29,339988.90309115825,2022-10-14
30,342938.6609131127,2022-10-15
31,344381.14686706563,2022-10-16
32,344759.3315311154,2022-10-17
33,345231.58902343875,2022-10-18
34,345007.48724750936,2022-10-19
35,344735.0424151106,2022-10-20
36,341704.8267253408,2022-10-21
37,341985.90255723346,2022-10-22
38,345265.6621035152,2022-10-23
39,344665.0252505037,2022-10-24
40,346578.00658077496,2022-10-25
41,349462.0668561739,2022-10-26
42,349811.82381095685,2022-10-27
43,348715.6942286129,2022-10-28
44,346656.1813163675,2022-10-29
45,347022.04867742996,2022-10-30
46,350249.97905406,2022-10-31
47,350300.42374775145,2022-11-01
48,354394.7430818779,2022-11-02
49,355284.65138410724,2022-11-03
50,355297.3892402683,2022-11-04
51,354336.14068243885,2022-11-05
52,352824.2641482282,2022-11-06
53,350861.54642637627,2022-11-07
54,352927.097090243,2022-11-08
55,354776.7460597715,2022-11-09
56,357893.02152180305,2022-11-10
57,358566.2858842875,2022-11-11
58,359207.7598791286,2022-11-12
59,358819.8299079414,2022-11-13
60,356864.3265580509,2022-11-14
61,354165.99309224874,2022-11-15
