,Total reward,date
0,168635.0,2022-09-15
1,169390.0,2022-09-16
2,170823.0,2022-09-17
3,171521.0,2022-09-18
4,172254.0,2022-09-19
5,172633.0,2022-09-20
6,172455.0,2022-09-21
7,173336.0,2022-09-22
8,173448.0,2022-09-23
9,174301.0,2022-09-24
10,174814.0,2022-09-25
11,174691.0,2022-09-26
12,174848.0,2022-09-27
13,175739.0,2022-09-28
14,175699.0,2022-09-29
15,176020.0,2022-09-30
16,174953.0,2022-10-01
17,176507.0,2022-10-02
18,176052.0,2022-10-03
19,175785.0,2022-10-04
20,175990.0,2022-10-05
21,176846.0,2022-10-06
22,176078.0,2022-10-07
23,177387.0,2022-10-08
24,177841.0,2022-10-09
25,177900.0,2022-10-10
26,177940.0,2022-10-11
27,178116.0,2022-10-12
28,178019.0,2022-10-13
29,178602.0,2022-10-14
30,178693.0,2022-10-15
31,178822.0,2022-10-16
32,178356.0,2022-10-17
33,178780.0,2022-10-18
34,178679.0,2022-10-19
35,179629.0,2022-10-20
36,180149.0,2022-10-21
37,180510.0,2022-10-22
38,180632.0,2022-10-23
39,178769.0,2022-10-24
40,179426.0,2022-10-25
41,181177.0,2022-10-26
42,181584.0,2022-10-27
43,181634.0,2022-10-28
44,182043.0,2022-10-29
45,183255.0,2022-10-30
46,183581.0,2022-10-31
47,182368.0,2022-11-01
48,184091.0,2022-11-02
49,184450.0,2022-11-03
50,184771.0,2022-11-04
51,184931.0,2022-11-05
52,185580.0,2022-11-06
53,185646.0,2022-11-07
54,185835.0,2022-11-08
55,185398.0,2022-11-09
56,186291.0,2022-11-10
57,186383.0,2022-11-11
58,186988.0,2022-11-12
59,187341.0,2022-11-13
60,187140.0,2022-11-14
61,187269.0,2022-11-15
